ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
17,0,23,0,SILVER_I,45,14,12329,11,0,9,0,SILVER_II,63,11,8456,31,0,34,0,SILVER_I,63,14,12823,31,0,52,0,GOLD_IV,15,11,8214,7,0,14,0,SILVER_II,58,10,6839,56,0,46,0,GOLD_I,18,11,7664,7,0,14,0,SILVER_II,75,10,7271,10,0,10,0,SILVER_IV,31,12,8697,4,0,7,0,BRONZE,I,89,11,8448,4,0,8,0,SILVER_III,70,11,7787
38,0,28,0,BRONZE_II,16,13,10421,168,0,160,0,BRONZE_II,7,10,6498,60,0,78,0,BRONZE_IV,61,12,9333,78,0,82,0,BRONZE_II,53,11,8040,154,0,153,0,BRONZE_II,51,9,5471,244,0,227,0,BRONZE_II,75,11,8466,189,0,167,0,SILVER_II,0,11,7340,11,0,8,0,BRONZE,I,0,12,9826,273,0,265,0,BRONZE_IV,9,9,5691,29,0,27,0,IRON_I,35,8,4769
20,0,21,0,BRONZE_I,69,12,9663,2,0,13,0,IRON_II,53,10,6609,3,0,12,0,BRONZE_IV,50,10,7297,15,0,27,0,BRONZE_IV,60,9,5734,20,0,45,0,IRON_I,17,9,5587,12,0,12,0,BRONZE_III,94,12,9184,12,0,12,0,BRONZE_III,94,12,8962,11,0,8,0,BRONZE,I,0,13,10706,8,0,6,0,BRONZE_IV,64,10,7098,29,0,27,0,IRON_I,35,10,6822
13,0,13,0,BRONZE_I,85,18,22596,33,0,27,0,SILVER_II,0,18,19369,57,0,72,0,SILVER_IV,17,18,19198,11,0,17,0,BRONZE_IV,43,16,15169,5,0,6,0,BRONZE_I,26,16,15599,35,0,59,0,BRONZE_IV,0,17,17650,26,0,16,0,SILVER_IV,33,18,19654,11,0,8,0,BRONZE,I,0,18,18776,11,0,8,0,BRONZE_I,0,16,15677,22,0,24,0,SILVER_IV,53,16,15982
297,0,302,0,BRONZE_II,48,16,16103,363,0,372,0,BRONZE_II,91,14,12712,195,0,212,0,SILVER_IV,0,15,13085,324,0,330,0,BRONZE_II,69,14,11866,61,0,69,0,BRONZE_III,75,13,10691,163,0,130,0,SILVER_II,49,15,13712,93,0,102,0,BRONZE_I,22,15,14183,11,0,8,0,BRONZE,I,0,15,13433,58,0,86,0,BRONZE_III,12,13,10728,29,0,27,0,IRON_I,35,13,10294
66,0,73,0,BRONZE_III,18,15,13074,14,0,13,0,BRONZE_III,51,15,14367,40,0,55,0,BRONZE_III,84,16,15529,186,0,156,0,BRONZE_II,53,14,11984,8,0,23,0,BRONZE_IV,0,13,10567,34,0,36,0,BRONZE_I,7,15,13390,208,0,196,0,SILVER_IV,54,14,11704,11,0,8,0,BRONZE,I,0,12,9335,88,0,101,0,BRONZE_IV,0,15,14643,29,0,27,0,IRON_I,35,12,8845
9,0,10,0,BRONZE_II,82,14,12539,20,0,37,0,IRON_I,26,13,10821,16,0,9,0,SILVER_I,0,17,17341,32,0,48,0,BRONZE_II,51,15,13022,87,0,76,0,GOLD_IV,35,14,12748,77,0,62,0,SILVER_III,65,15,14516,46,0,39,0,SILVER_II,67,14,12887,14,0,30,0,BRONZE_III,50,10,6744,5,0,7,0,BRONZE,I,20,14,11545,10,0,14,0,BRONZE_III,72,14,11868
772,0,780,0,BRONZE_I,42,13,11269,364,0,386,0,SILVER_IV,0,15,14384,20,0,21,0,BRONZE_II,35,9,5309,43,0,38,0,BRONZE,I,5,13,11125,85,0,80,0,BRONZE_I,31,13,10430,121,0,135,0,BRONZE_III,61,16,15474,256,0,255,0,SILVER_III,0,15,13783,161,0,174,0,SILVER_II,12,15,13470,235,0,206,0,SILVER_IV,54,14,12044,151,0,122,0,SILVER_IV,24,13,11011
373,0,377,0,BRONZE_I,0,16,15969,162,0,188,0,BRONZE_I,60,14,13005,26,0,47,0,BRONZE_III,31,14,12941,43,0,38,0,BRONZE,I,5,15,13242,163,0,167,0,SILVER_IV,13,13,10804,210,0,227,0,SILVER_IV,85,15,14157,279,0,258,0,BRONZE_III,11,16,14816,57,0,63,0,SILVER_I,36,16,15043,102,0,129,0,BRONZE_III,72,16,15781,81,0,131,0,BRONZE_I,15,14,12686
85,0,92,0,BRONZE_IV,78,16,15771,119,0,102,0,SILVER_IV,1,15,14454,12,0,10,0,BRONZE_II,62,13,10460,43,0,38,0,BRONZE,I,5,16,15839,15,0,16,0,BRONZE_I,60,14,11540,16,0,23,0,BRONZE_III,84,13,10982,17,0,16,0,BRONZE_II,80,12,9697,24,0,28,0,BRONZE_II,0,14,11896,24,0,24,0,BRONZE_II,39,13,10441,10,0,19,0,BRONZE_II,22,11,8503
