ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
322,0,299,0,DIAMOND_IV,21,18,19500,83,0,77,0,PLATINUM_III,75,16,16373,129,0,101,0,PLATINUM_II,30,18,19774,133,0,139,0,PLATINUM_I,0,17,16673,168,0,182,0,PLATINUM_II,34,15,13639,446,0,430,0,PLATINUM_III,58,17,17939,329,0,298,0,PLATINUM_I,13,17,17468,195,0,204,0,PLATINUM_I,0,17,17371,240,0,275,0,PLATINUM_I,0,17,17628,140,0,126,0,PLATINUM_IV,32,14,12342
526,0,493,0,PLATINUM_I,16,16,14941,179,0,164,0,PLATINUM_II,30,16,15867,129,0,101,0,PLATINUM_II,30,17,16704,58,0,55,0,PLATINUM_III,44,16,16294,24,0,25,0,PLATINUM_III,79,14,12408,242,0,242,0,PLATINUM_II,37,16,15702,434,0,442,0,PLATINUM_IV,60,15,13828,272,0,290,0,PLATINUM_III,64,16,16133,58,0,51,0,PLATINUM_III,22,14,12243,125,0,126,0,PLATINUM_II,19,13,10098
61,0,57,0,PLATINUM_III,53,17,17539,419,0,388,0,PLATINUM_II,27,15,14326,129,0,101,0,PLATINUM_II,30,15,13890,215,0,215,0,PLATINUM_III,60,16,14886,90,0,82,0,PLATINUM_III,46,14,12204,71,0,58,0,PLATINUM_IV,33,15,14519,323,0,298,0,PLATINUM_IV,96,13,10777,599,0,589,0,PLATINUM_II,19,15,13419,236,0,186,0,PLATINUM_III,23,15,13265,122,0,121,0,PLATINUM_IV,49,14,11855
189,0,162,0,PLATINUM_III,34,14,12287,204,0,198,0,PLATINUM_II,62,16,15038,129,0,101,0,PLATINUM_II,30,15,13396,150,0,144,0,PLATINUM_IV,4,15,14093,259,0,236,0,PLATINUM_III,77,13,10082,323,0,292,0,PLATINUM_II,46,17,16640,282,0,278,0,PLATINUM_III,0,17,16874,171,0,155,0,PLATINUM_II,89,15,13652,145,0,145,0,PLATINUM_IV,1,16,14965,145,0,139,0,PLATINUM_III,63,14,11633
59,0,48,0,PLATINUM_IV,19,17,17426,59,0,48,0,PLATINUM_IV,19,18,18729,91,0,84,0,PLATINUM_II,88,18,22104,24,0,19,0,GOLD_I,96,18,19788,27,0,20,0,PLATINUM_IV,57,17,17343,45,0,45,0,DIAMOND_IV,1,18,21582,59,0,58,0,GOLD_I,12,16,15211,9,0,14,0,GOLD_I,0,17,16708,36,0,41,0,PLATINUM_III,0,16,15530,36,0,41,0,PLATINUM_III,5,15,14568
220,0,231,0,PLATINUM_III,0,17,16597,220,0,231,0,PLATINUM_III,0,16,15429,91,0,84,0,PLATINUM_II,88,18,19737,49,0,52,0,PLATINUM_IV,1,15,13177,51,0,38,0,PLATINUM_IV,78,15,13363,59,0,48,0,PLATINUM_IV,19,18,20206,60,0,57,0,PLATINUM_III,50,16,16369,58,0,50,0,PLATINUM_IV,57,18,19156,46,0,32,0,GOLD_I,5,16,15411,30,0,26,0,GOLD_II,63,14,12416
129,0,113,0,DIAMOND_III,20,16,16356,67,0,50,0,DIAMOND_IV,22,15,14572,91,0,84,0,PLATINUM_II,88,17,17056,160,0,168,0,PLATINUM_II,43,16,15439,83,0,90,0,DIAMOND_IV,0,13,10252,155,0,159,0,DIAMOND_IV,38,14,12847,49,0,41,0,DIAMOND_III,0,15,13741,110,0,97,0,PLATINUM_II,28,15,13358,73,0,68,0,PLATINUM_I,75,14,13018,208,0,200,0,PLATINUM_IV,60,14,11599
53,0,52,0,DIAMOND_IV,0,17,17620,67,0,50,0,DIAMOND_IV,22,17,17344,91,0,84,0,PLATINUM_II,88,15,14616,423,0,381,0,PLATINUM_II,30,15,13457,170,0,153,0,DIAMOND_II,58,15,14456,241,0,206,0,DIAMOND_II,0,16,15053,336,0,302,0,DIAMOND_III,18,14,12321,297,0,274,0,DIAMOND_III,27,16,15508,86,0,81,0,DIAMOND_I,0,14,12673,94,0,85,0,DIAMOND_IV,76,14,12135
104,0,100,0,PLATINUM_II,52,15,13549,67,0,50,0,DIAMOND_IV,22,15,14344,91,0,84,0,PLATINUM_II,88,16,14726,85,0,81,0,PLATINUM_I,43,13,10460,39,0,36,0,PLATINUM_I,0,12,9673,27,0,24,0,PLATINUM_I,14,12,9698,87,0,87,0,PLATINUM_III,14,13,11101,65,0,70,0,PLATINUM_III,30,13,10975,12,0,15,0,PLATINUM_II,43,13,10017,177,0,153,0,PLATINUM_II,5,12,9020
111,0,95,0,PLATINUM_III,34,15,13642,38,0,42,0,PLATINUM_IV,0,15,13964,587,0,583,0,PLATINUM_III,6,16,14993,14,0,18,0,PLATINUM_II,24,13,11045,35,0,34,0,GOLD_II,41,13,10932,2,0,9,0,PLATINUM_IV,67,17,16506,135,0,136,0,PLATINUM_IV,15,16,15825,63,0,71,0,PLATINUM_II,14,15,13834,12,0,13,0,GOLD_I,100,17,17139,40,0,32,0,PLATINUM_IV,13,14,12224
