rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
49,0,38,0,GOLD_I,100,15,14285,74,0,56,0,PLATINUM_IV,0,17,17036,171,0,160,0,PLATINUM_IV,0,17,16687,188,0,170,0,PLATINUM_III,0,18,18395,36,0,36,0,PLATINUM_IV,1,15,13162,680,0,652,0,PLATINUM_IV,0,17,16987,572,0,564,0,PLATINUM_IV,0,15,13409,51,0,47,0,PLATINUM_IV,16,15,13087,90,0,96,0,PLATINUM_IV,75,16,15989,218,0,226,0,PLATINUM_IV,1,12,9685
465,0,443,0,PLATINUM_II,44,16,14832,74,0,56,0,PLATINUM_IV,0,15,14595,207,0,203,0,PLATINUM_IV,22,16,14812,71,0,72,0,PLATINUM_IV,34,14,11791,183,0,147,0,DIAMOND_III,0,13,11149,30,0,28,0,PLATINUM_IV,0,14,12921,796,0,790,0,GOLD_II,41,14,12460,197,0,172,0,PLATINUM_IV,0,15,13064,128,0,116,0,PLATINUM_III,75,12,9603,210,0,222,0,PLATINUM_IV,12,12,8994
110,0,101,0,PLATINUM_IV,1,13,10507,359,0,347,0,PLATINUM_III,1,15,14029,247,0,231,0,PLATINUM_III,61,16,15709,121,0,94,0,PLATINUM_II,26,14,11827,243,0,236,0,PLATINUM_III,41,13,10991,59,0,36,0,PLATINUM_II,5,14,11996,74,0,67,0,PLATINUM_IV,41,11,7517,138,0,116,0,PLATINUM_III,0,14,12061,275,0,291,0,PLATINUM_IV,40,12,8718,83,0,96,0,GOLD_II,31,11,7588
77,0,58,0,PLATINUM_IV,0,11,8115,242,0,233,0,PLATINUM_III,16,9,5964,112,0,119,0,PLATINUM_IV,38,9,6039,239,0,245,0,PLATINUM_III,5,9,5450,246,0,217,0,PLATINUM_II,39,7,3801,627,0,608,0,DIAMOND_IV,0,11,7696,74,0,67,0,PLATINUM_IV,41,11,7345,443,0,444,0,PLATINUM_IV,21,12,9168,65,0,54,0,PLATINUM_II,40,10,7244,77,0,51,0,GOLD_I,61,9,5344
209,0,199,0,PLATINUM_II,59,15,14554,224,0,193,0,PLATINUM_IV,20,17,17776,241,0,266,0,PLATINUM_IV,4,16,15413,339,0,352,0,GOLD_I,75,15,13026,218,0,217,0,PLATINUM_IV,42,15,13779,89,0,94,0,PLATINUM_III,39,16,14786,74,0,67,0,PLATINUM_IV,41,18,19924,137,0,117,0,PLATINUM_III,21,16,15601,317,0,290,0,PLATINUM_III,18,14,12310,271,0,279,0,PLATINUM_IV,36,15,13039
218,0,227,0,PLATINUM_III,15,17,18076,591,0,597,0,PLATINUM_III,90,18,18807,54,0,47,0,PLATINUM_IV,79,15,14346,159,0,160,0,PLATINUM_IV,49,15,14440,52,0,47,0,PLATINUM_III,0,14,12729,1631,0,1579,0,DIAMOND_IV,95,15,13294,74,0,67,0,PLATINUM_IV,41,14,11630,244,0,248,0,PLATINUM_III,61,15,13212,285,0,286,0,PLATINUM_III,63,14,12519,134,0,126,0,PLATINUM_III,1,13,10508
311,0,311,0,PLATINUM_IV,64,14,11721,682,0,650,0,PLATINUM_I,7,13,11094,207,0,185,0,DIAMOND_II,18,12,8989,511,0,504,0,PLATINUM_IV,74,12,8685,250,0,254,0,PLATINUM_IV,31,12,8907,66,0,91,0,PLATINUM_IV,0,12,9523,74,0,67,0,PLATINUM_IV,41,11,7862,100,0,128,0,GOLD_II,21,12,9550,253,0,268,0,PLATINUM_III,26,11,7406,219,0,232,0,GOLD_I,23,10,7004
64,0,62,0,PLATINUM_IV,75,12,9459,223,0,222,0,PLATINUM_III,14,12,9118,198,0,192,0,PLATINUM_IV,75,12,9026,49,0,46,0,PLATINUM_IV,60,12,8963,78,0,60,0,PLATINUM_IV,61,9,5051,197,0,196,0,PLATINUM_IV,44,14,12881,101,0,87,0,PLATINUM_III,82,14,11732,199,0,190,0,PLATINUM_IV,31,14,11949,220,0,210,0,PLATINUM_IV,60,12,8870,438,0,445,0,PLATINUM_IV,0,11,7730
28,0,20,0,GOLD_I,19,18,22588,936,0,928,0,PLATINUM_III,73,17,18057,216,0,205,0,PLATINUM_II,5,18,22391,199,0,193,0,PLATINUM_III,44,17,17494,78,0,60,0,PLATINUM_IV,61,17,16631,83,0,71,0,PLATINUM_IV,49,18,21271,282,0,254,0,PLATINUM_II,44,18,26177,434,0,399,0,PLATINUM_III,53,18,25557,12,0,19,0,GOLD_II,60,18,22603,134,0,152,0,PLATINUM_III,0,18,19348
335,0,357,0,PLATINUM_IV,87,17,17531,123,0,70,0,PLATINUM_III,75,16,15302,587,0,583,0,PLATINUM_III,6,16,14874,148,0,150,0,PLATINUM_IV,45,13,10388,78,0,60,0,PLATINUM_IV,61,13,11291,94,0,87,0,GOLD_I,32,15,13450,25,0,28,0,PLATINUM_IV,0,16,15473,35,0,36,0,PLATINUM_I,0,17,16809,23,0,36,0,PLATINUM_IV,0,17,17330,55,0,53,0,PLATINUM_IV,47,14,12358
222,0,222,0,PLATINUM_II,54,15,13198,93,0,84,0,PLATINUM_III,59,14,12196,53,0,61,0,PLATINUM_III,0,14,12792,135,0,91,0,PLATINUM_I,1,14,12327,78,0,60,0,PLATINUM_IV,61,12,9660,208,0,208,0,PLATINUM_IV,27,13,11361,298,0,299,0,PLATINUM_IV,61,12,9323,118,0,98,0,PLATINUM_III,47,13,10806,324,0,304,0,PLATINUM_II,24,13,10554,98,0,91,0,PLATINUM_II,9,12,9408
699,0,680,0,PLATINUM_II,43,17,18149,116,0,113,0,PLATINUM_III,36,18,18613,176,0,158,0,PLATINUM_IV,80,15,14138,135,0,91,0,PLATINUM_I,1,15,14631,78,0,60,0,PLATINUM_IV,61,13,11384,138,0,140,0,PLATINUM_IV,30,15,13813,160,0,155,0,PLATINUM_III,34,15,14517,96,0,85,0,PLATINUM_III,1,14,12932,29,0,22,0,GOLD_I,68,14,12834,91,0,80,0,PLATINUM_IV,60,13,10525
216,0,209,0,GOLD_I,100,12,9913,42,0,55,0,GOLD_I,54,11,8420,424,0,449,0,PLATINUM_IV,12,13,10464,135,0,132,0,PLATINUM_IV,3,10,7224,374,0,348,0,PLATINUM_IV,41,9,5758,196,0,183,0,PLATINUM_IV,15,11,8530,211,0,199,0,PLATINUM_IV,32,10,7077,110,0,111,0,PLATINUM_IV,13,11,8255,283,0,278,0,PLATINUM_IV,24,10,6832,108,0,74,0,PLATINUM_IV,56,7,4044
51,0,31,0,GOLD_I,83,15,13395,111,0,101,0,PLATINUM_IV,27,13,10695,424,0,449,0,PLATINUM_IV,12,12,9407,431,0,378,0,GOLD_I,49,12,9543,91,0,101,0,PLATINUM_IV,0,11,7572,53,0,50,0,PLATINUM_IV,0,14,12407,108,0,124,0,PLATINUM_IV,29,13,11250,141,0,149,0,PLATINUM_IV,0,15,14404,138,0,149,0,GOLD_I,100,13,10726,49,0,43,0,GOLD_I,61,12,8869
79,0,75,0,GOLD_I,8,14,12875,335,0,351,0,PLATINUM_IV,28,13,10834,424,0,449,0,PLATINUM_IV,12,14,12718,267,0,245,0,PLATINUM_IV,40,13,10342,108,0,116,0,PLATINUM_IV,0,12,8790,27,0,29,0,GOLD_I,29,16,15275,54,0,71,0,GOLD_I,100,14,12380,230,0,229,0,PLATINUM_IV,48,16,16309,179,0,178,0,PLATINUM_IV,7,14,12677,88,0,75,0,GOLD_II,67,14,11962
