rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
42,0,47,0,PLATINUM_I,100,15,13634,271,0,265,0,PLATINUM_III,88,14,12965,296,0,265,0,DIAMOND_IV,93,14,12434,168,0,143,0,DIAMOND_IV,63,14,12045,1178,0,1149,0,DIAMOND_IV,32,12,9105,438,0,462,0,DIAMOND_IV,59,14,12445,359,0,391,0,DIAMOND_IV,75,13,10976,565,0,569,0,DIAMOND_IV,20,13,10205,208,0,213,0,PLATINUM_I,8,11,7633,142,0,137,0,DIAMOND_III,10,10,6526
96,0,81,0,DIAMOND_I,67,14,12451,103,0,85,0,DIAMOND_II,95,13,10087,305,0,260,0,DIAMOND_III,6,13,10443,439,0,384,0,MASTER_I,1,11,8031,58,0,60,0,DIAMOND_I,71,10,6631,287,0,267,0,DIAMOND_III,59,12,9356,120,0,111,0,DIAMOND_IV,34,11,7757,379,0,383,0,DIAMOND_I,93,10,7168,138,0,131,0,DIAMOND_I,10,10,6628,264,0,263,0,DIAMOND_III,75,9,5151
96,0,81,0,DIAMOND_I,67,15,14158,606,0,574,0,DIAMOND_III,40,15,13558,305,0,260,0,DIAMOND_III,6,16,14905,246,0,223,0,DIAMOND_II,44,16,14800,250,0,225,0,DIAMOND_III,0,12,9389,544,0,524,0,DIAMOND_II,25,14,11464,92,0,97,0,DIAMOND_IV,46,14,13000,58,0,50,0,DIAMOND_IV,81,15,14370,159,0,165,0,DIAMOND_II,64,13,10704,228,0,214,0,DIAMOND_II,13,12,9166
100,0,105,0,PLATINUM_I,48,12,9769,475,0,412,0,DIAMOND_IV,78,11,7465,305,0,260,0,DIAMOND_III,6,12,9561,178,0,189,0,PLATINUM_II,60,10,6818,145,0,110,0,DIAMOND_II,45,8,4990,353,0,362,0,DIAMOND_IV,91,10,6620,218,0,207,0,DIAMOND_III,11,7,3596,35,0,24,0,PLATINUM_II,75,10,6322,327,0,303,0,DIAMOND_IV,35,8,4810,206,0,158,0,DIAMOND_IV,42,9,5047
337,0,345,0,DIAMOND_II,36,16,16129,475,0,412,0,DIAMOND_IV,78,15,13621,305,0,260,0,DIAMOND_III,6,15,14144,222,0,174,0,DIAMOND_II,0,14,11713,229,0,241,0,DIAMOND_III,35,13,10549,564,0,574,0,DIAMOND_IV,20,13,10327,92,0,50,0,PLATINUM_II,33,12,9394,35,0,24,0,PLATINUM_II,75,15,13117,184,0,154,0,DIAMOND_IV,72,12,9514,55,0,32,0,DIAMOND_IV,1,12,8700
312,0,279,0,DIAMOND_II,63,18,21720,475,0,412,0,DIAMOND_IV,78,18,20094,305,0,260,0,DIAMOND_III,6,18,22918,165,0,129,0,DIAMOND_III,52,18,19252,306,0,296,0,DIAMOND_IV,31,16,16035,42,0,61,0,PLATINUM_I,36,17,17811,50,0,50,0,DIAMOND_II,0,17,17917,77,0,44,0,PLATINUM_I,100,18,21036,88,0,85,0,DIAMOND_IV,18,17,18340,352,0,338,0,PLATINUM_II,71,14,12840
108,0,87,0,DIAMOND_III,20,18,22290,121,0,132,0,DIAMOND_IV,75,18,18918,138,0,99,0,DIAMOND_II,10,18,21309,173,0,151,0,DIAMOND_IV,33,18,19133,228,0,197,0,PLATINUM_I,89,15,13775,293,0,298,0,DIAMOND_III,8,17,16965,342,0,325,0,DIAMOND_III,0,18,18988,394,0,391,0,DIAMOND_IV,60,17,17868,170,0,166,0,DIAMOND_IV,62,16,15556,174,0,160,0,PLATINUM_I,93,15,13776
108,0,87,0,DIAMOND_III,20,14,11524,124,0,121,0,PLATINUM_I,100,13,11120,46,0,40,0,PLATINUM_I,100,15,13247,173,0,151,0,DIAMOND_IV,33,13,10241,287,0,289,0,DIAMOND_IV,61,11,8203,265,0,235,0,DIAMOND_IV,39,11,8040,21,0,24,0,PLATINUM_I,0,13,10281,42,0,47,0,PLATINUM_II,61,13,11000,42,0,48,0,PLATINUM_I,0,11,8081,221,0,185,0,DIAMOND_IV,54,11,7455
108,0,87,0,DIAMOND_III,20,12,9430,95,0,89,0,PLATINUM_II,80,14,11673,154,0,156,0,PLATINUM_I,43,14,12734,413,0,386,0,PLATINUM_II,99,13,10473,173,0,151,0,DIAMOND_IV,33,12,9948,219,0,224,0,DIAMOND_IV,59,13,10464,257,0,238,0,PLATINUM_I,92,11,8263,288,0,279,0,DIAMOND_IV,22,13,10365,288,0,304,0,DIAMOND_IV,6,10,6843,372,0,336,0,DIAMOND_III,2,10,7071
108,0,87,0,DIAMOND_III,20,14,11737,108,0,120,0,DIAMOND_IV,17,16,15737,60,0,46,0,DIAMOND_IV,1,15,14500,78,0,66,0,PLATINUM_III,67,17,17520,173,0,151,0,DIAMOND_IV,33,16,15662,51,0,48,0,DIAMOND_IV,0,18,18626,131,0,139,0,PLATINUM_III,51,18,18441,199,0,159,0,DIAMOND_IV,78,17,17467,235,0,212,0,DIAMOND_IV,56,16,15529,94,0,74,0,PLATINUM_I,71,16,15696
108,0,87,0,DIAMOND_III,20,13,10342,222,0,230,0,PLATINUM_I,29,14,12875,188,0,195,0,DIAMOND_IV,41,14,12405,107,0,98,0,PLATINUM_II,60,15,13352,173,0,151,0,DIAMOND_IV,33,13,10445,217,0,214,0,DIAMOND_III,15,14,11497,238,0,231,0,DIAMOND_IV,27,12,9174,78,0,66,0,PLATINUM_III,67,13,10975,557,0,573,0,PLATINUM_I,7,11,7651,192,0,168,0,PLATINUM_II,57,10,6665
228,0,204,0,DIAMOND_I,20,15,14252,740,0,744,0,DIAMOND_IV,60,15,13777,75,0,57,0,DIAMOND_II,32,17,16753,110,0,95,0,DIAMOND_III,29,17,17564,137,0,120,0,DIAMOND_II,80,15,13507,76,0,57,0,DIAMOND_II,73,18,19851,126,0,96,0,DIAMOND_II,71,17,17347,174,0,148,0,DIAMOND_II,17,16,16299,12,0,15,0,PLATINUM_I,97,15,14321,33,0,24,0,DIAMOND_III,72,14,11846
108,0,50,0,DIAMOND_I,17,14,12604,121,0,99,0,DIAMOND_IV,18,13,11412,33,0,26,0,PLATINUM_I,100,14,11848,7,0,5,0,DIAMOND_IV,54,13,10401,81,0,94,0,DIAMOND_III,46,11,7952,76,0,57,0,DIAMOND_II,73,16,15898,19,0,8,0,DIAMOND_II,70,15,14272,68,0,19,0,DIAMOND_III,4,13,11332,88,0,58,0,PLATINUM_I,79,13,11052,33,0,24,0,DIAMOND_III,72,12,9559
138,0,94,0,MASTER_I,1,15,13905,547,0,517,0,DIAMOND_I,90,16,15555,281,0,287,0,DIAMOND_I,7,15,14550,400,0,415,0,DIAMOND_I,27,16,15806,210,0,198,0,DIAMOND_I,100,15,13320,76,0,57,0,DIAMOND_II,73,15,14238,56,0,51,0,DIAMOND_III,28,15,13055,114,0,96,0,MASTER_I,1,16,15909,331,0,316,0,DIAMOND_I,1,13,11394,33,0,24,0,DIAMOND_III,72,13,10972
