main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
228,0,206,0,PLATINUM_IV,0,15,13272,23,0,34,0,PLATINUM_IV,40,16,16372,41,0,44,0,GOLD_I,23,15,14535,19,0,14,0,GOLD_I,100,15,13207,280,0,257,0,PLATINUM_IV,48,14,12384,182,0,160,0,PLATINUM_III,15,17,16519,205,0,198,0,PLATINUM_IV,10,6,2517,60,0,48,0,PLATINUM_III,75,14,12391,54,0,44,0,PLATINUM_III,8,15,13722,153,0,129,0,GOLD_I,50,14,11737
58,0,37,0,GOLD_I,100,15,14265,142,0,129,0,PLATINUM_I,43,15,14419,406,0,367,0,PLATINUM_IV,57,15,14238,204,0,196,0,PLATINUM_IV,18,15,13428,182,0,170,0,PLATINUM_IV,1,13,10997,157,0,162,0,PLATINUM_IV,19,14,12746,136,0,138,0,PLATINUM_III,0,14,12676,60,0,48,0,PLATINUM_III,75,13,10141,163,0,159,0,PLATINUM_IV,75,14,12367,153,0,129,0,GOLD_I,50,12,9844
35,0,38,0,PLATINUM_III,69,15,13292,81,0,77,0,PLATINUM_III,76,15,14354,24,0,26,0,PLATINUM_IV,30,15,13820,37,0,23,0,PLATINUM_II,0,15,13285,386,0,345,0,PLATINUM_IV,83,14,11473,285,0,281,0,PLATINUM_IV,8,16,14766,53,0,53,0,PLATINUM_III,72,16,15329,74,0,80,0,PLATINUM_II,0,17,17340,489,0,465,0,PLATINUM_II,0,15,13240,273,0,269,0,PLATINUM_II,4,14,12705
73,0,66,0,DIAMOND_IV,0,14,12025,58,0,45,0,PLATINUM_III,55,15,13239,70,0,58,0,GOLD_II,89,13,11280,143,0,146,0,PLATINUM_III,82,12,9370,153,0,157,0,PLATINUM_II,0,11,8016,48,0,50,0,PLATINUM_III,53,16,16273,53,0,53,0,PLATINUM_III,72,15,13413,74,0,80,0,PLATINUM_II,0,14,12291,327,0,303,0,DIAMOND_IV,35,15,13239,42,0,35,0,PLATINUM_II,0,12,9922
65,0,66,0,GOLD_I,0,16,15184,57,0,58,0,PLATINUM_I,100,15,14613,322,0,299,0,DIAMOND_IV,1,15,14269,200,0,179,0,PLATINUM_IV,73,15,13640,105,0,120,0,PLATINUM_III,38,15,13164,350,0,348,0,PLATINUM_III,61,15,13623,53,0,53,0,PLATINUM_III,72,14,11602,74,0,80,0,PLATINUM_II,0,15,13490,209,0,192,0,PLATINUM_I,79,15,13084,280,0,294,0,PLATINUM_II,9,12,9041
100,0,77,0,PLATINUM_I,100,2,602,275,0,236,0,DIAMOND_IV,51,3,833,144,0,120,0,PLATINUM_I,23,3,935,211,0,204,0,PLATINUM_III,34,3,692,367,0,362,0,PLATINUM_IV,23,1,0,109,0,89,0,PLATINUM_I,0,3,965,53,0,53,0,PLATINUM_III,72,3,678,74,0,80,0,PLATINUM_II,0,3,965,364,0,334,0,PLATINUM_II,71,2,564,179,0,177,0,PLATINUM_IV,0,2,564
290,0,290,0,PLATINUM_II,26,15,13851,179,0,170,0,PLATINUM_III,63,15,14329,365,0,343,0,PLATINUM_II,19,16,14915,336,0,305,0,PLATINUM_I,46,16,14726,185,0,180,0,DIAMOND_IV,0,13,11413,192,0,163,0,PLATINUM_III,28,14,11991,53,0,53,0,PLATINUM_III,72,15,13371,74,0,80,0,PLATINUM_II,0,14,12281,679,0,699,0,PLATINUM_IV,0,14,12005,95,0,73,0,PLATINUM_II,61,12,8834
29,0,39,0,PLATINUM_I,30,15,14555,99,0,108,0,PLATINUM_II,95,14,11622,10,0,14,0,PLATINUM_III,63,16,15300,739,0,733,0,DIAMOND_III,1,15,13734,109,0,92,0,PLATINUM_I,43,13,10124,71,0,73,0,PLATINUM_I,82,18,18484,37,0,50,0,PLATINUM_I,0,17,17218,306,0,296,0,DIAMOND_IV,31,17,17995,97,0,98,0,DIAMOND_III,30,15,13229,130,0,123,0,DIAMOND_IV,0,13,11213
138,0,127,0,PLATINUM_I,59,18,25192,193,0,169,0,PLATINUM_I,0,18,23500,10,0,14,0,PLATINUM_III,63,18,24169,99,0,108,0,PLATINUM_II,95,18,20808,21,0,24,0,PLATINUM_II,69,17,17926,240,0,217,0,DIAMOND_IV,64,18,23843,265,0,253,0,PLATINUM_II,39,18,18697,53,0,46,0,PLATINUM_I,15,18,23187,159,0,159,0,DIAMOND_IV,25,18,22997,226,0,257,0,DIAMOND_III,6,17,17722
17,0,22,0,PLATINUM_II,34,10,6159,357,0,360,0,PLATINUM_IV,88,10,6693,10,0,14,0,PLATINUM_III,63,10,6199,147,0,145,0,PLATINUM_IV,33,12,9332,153,0,159,0,PLATINUM_III,3,9,5187,144,0,131,0,PLATINUM_I,0,9,5706,259,0,273,0,PLATINUM_IV,77,12,9301,42,0,32,0,PLATINUM_IV,38,11,7536,287,0,287,0,PLATINUM_IV,61,10,6554,632,0,636,0,PLATINUM_II,75,12,9578
