rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
213,0,209,0,SILVER_III,20,15,13176,307,0,314,0,BRONZE_II,48,15,14095,49,0,56,0,SILVER_IV,0,14,11916,133,0,146,0,SILVER_I,56,15,13215,37,0,43,0,BRONZE_III,58,13,10229,35,0,29,0,SILVER_IV,23,16,14903,76,0,78,0,BRONZE_II,65,17,16535,557,0,558,0,SILVER_II,4,17,16833,34,0,47,0,BRONZE_II,0,13,11320,117,0,93,0,SILVER_IV,51,13,11435
438,0,407,0,SILVER_III,21,15,14005,76,0,79,0,BRONZE_I,51,14,12652,386,0,409,0,BRONZE_III,11,14,12910,48,0,55,0,SILVER_IV,15,14,11756,44,0,62,0,BRONZE_IV,75,14,11861,61,0,79,0,BRONZE_III,65,14,11500,76,0,78,0,BRONZE_II,65,12,9809,137,0,131,0,BRONZE_II,72,11,8384,89,0,95,0,SILVER_III,37,13,10018,24,0,31,0,BRONZE_IV,68,12,9263
365,0,402,0,BRONZE_III,41,15,13463,68,0,77,0,BRONZE_III,30,14,11991,253,0,229,0,BRONZE_II,8,15,13224,40,0,46,0,BRONZE_III,39,15,14049,31,0,43,0,BRONZE_II,64,14,11853,248,0,237,0,SILVER_III,0,15,14052,65,0,85,0,BRONZE_III,76,13,10569,439,0,369,0,SILVER_II,57,15,13370,109,0,89,0,SILVER_IV,31,13,10430,63,0,72,0,BRONZE_II,75,13,9972
66,0,81,0,BRONZE_II,40,13,10410,132,0,133,0,BRONZE_II,70,11,8168,221,0,225,0,SILVER_IV,12,10,7299,167,0,171,0,SILVER_IV,60,11,7590,31,0,43,0,BRONZE_II,64,12,9870,77,0,79,0,BRONZE_I,2,15,13101,41,0,41,0,BRONZE_IV,0,13,11429,54,0,32,0,SILVER_IV,35,13,10945,336,0,335,0,BRONZE_I,18,14,11794,22,0,19,0,BRONZE_II,48,12,9731
68,0,60,0,BRONZE_III,50,13,11409,237,0,217,0,GOLD_IV,73,13,11082,183,0,164,0,SILVER_I,86,13,10936,373,0,360,0,BRONZE_II,45,12,9275,31,0,43,0,BRONZE_II,64,10,7284,105,0,108,0,BRONZE_I,36,13,10052,200,0,220,0,BRONZE_II,57,10,7071,199,0,177,0,SILVER_III,55,13,11176,79,0,100,0,BRONZE_III,92,13,10128,58,0,58,0,BRONZE_II,54,10,6806
56,0,63,0,SILVER_IV,43,18,20820,161,0,184,0,SILVER_IV,6,16,14980,400,0,401,0,SILVER_II,17,17,18324,156,0,166,0,SILVER_IV,10,16,15010,159,0,171,0,SILVER_IV,0,16,15095,76,0,85,0,SILVER_IV,0,15,13106,12,0,17,0,BRONZE_II,46,16,15059,301,0,274,0,SILVER_I,0,17,18264,226,0,218,0,SILVER_III,14,16,14943,105,0,106,0,SILVER_IV,53,14,13009
322,0,309,0,SILVER_III,19,18,21948,67,0,63,0,SILVER_III,55,18,18368,55,0,65,0,SILVER_IV,67,18,19277,47,0,63,0,SILVER_IV,15,16,15290,30,0,37,0,SILVER_IV,15,17,16506,46,0,46,0,SILVER_IV,68,18,18822,12,0,17,0,BRONZE_II,46,17,17407,161,0,184,0,SILVER_IV,6,17,16659,74,0,90,0,SILVER_IV,0,17,16984,82,0,88,0,SILVER_IV,0,17,17869
13,0,14,0,BRONZE_I,46,16,15388,26,0,24,0,BRONZE_I,51,17,17820,31,0,31,0,SILVER_III,44,15,13793,22,0,20,0,SILVER_IV,1,15,13831,40,0,53,0,BRONZE_II,93,14,12056,5,0,12,0,BRONZE_III,49,13,10575,12,0,17,0,BRONZE_II,46,14,12739,10,0,15,0,BRONZE_I,11,13,11232,135,0,118,0,BRONZE_II,33,13,11004,37,0,60,0,BRONZE_I,27,13,10957
183,0,191,0,SILVER_IV,34,16,16372,415,0,413,0,SILVER_IV,42,16,15334,197,0,178,0,BRONZE_I,68,14,12557,347,0,351,0,SILVER_III,2,16,15094,55,0,33,0,SILVER_IV,40,13,11296,134,0,131,0,SILVER_IV,59,15,13556,12,0,17,0,BRONZE_II,46,13,10952,99,0,126,0,SILVER_IV,14,13,10762,21,0,16,0,BRONZE_II,22,14,12978,58,0,74,0,SILVER_IV,40,12,9896
371,0,373,0,GOLD_IV,63,18,19744,77,0,95,0,SILVER_IV,0,18,20451,442,0,457,0,BRONZE_II,75,18,20061,306,0,301,0,SILVER_IV,46,17,17997,170,0,163,0,SILVER_IV,75,16,15154,108,0,138,0,BRONZE_IV,77,18,19128,12,0,17,0,BRONZE_II,46,17,16643,156,0,149,0,SILVER_IV,59,18,18566,79,0,73,0,SILVER_IV,4,17,17764,149,0,147,0,SILVER_III,18,17,17343
