rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
31,0,25,0,GOLD_IV,65,14,12927,50,0,54,0,SILVER_II,8,13,10978,130,0,123,0,GOLD_III,49,13,10176,18,0,14,0,GOLD_II,31,14,11885,178,0,192,0,GOLD_III,81,13,10299,20,0,20,0,SILVER_III,64,13,9963,26,0,30,0,GOLD_IV,5,12,9147,173,0,169,0,GOLD_IV,38,12,9948,59,0,45,0,GOLD_III,55,11,8492,273,0,273,0,GOLD_IV,15,12,8908
60,0,69,0,PLATINUM_IV,16,16,15642,52,0,52,0,PLATINUM_IV,75,16,15493,46,0,51,0,PLATINUM_III,12,15,13295,18,0,14,0,GOLD_II,31,14,12430,28,0,27,0,PLATINUM_III,47,14,11990,63,0,48,0,DIAMOND_IV,71,15,14099,9,0,17,0,GOLD_II,80,14,11847,94,0,85,0,PLATINUM_III,9,14,12746,26,0,23,0,GOLD_I,18,13,10394,17,0,22,0,GOLD_II,83,12,9644
111,0,93,0,PLATINUM_III,0,16,16317,53,0,51,0,PLATINUM_IV,15,15,14099,212,0,219,0,PLATINUM_IV,79,16,15393,18,0,14,0,GOLD_II,31,15,14370,68,0,50,0,PLATINUM_II,71,14,12746,60,0,61,0,PLATINUM_II,29,15,13980,221,0,215,0,PLATINUM_IV,14,15,14478,233,0,224,0,PLATINUM_IV,42,15,13807,57,0,76,0,PLATINUM_IV,0,15,13382,107,0,132,0,GOLD_I,60,13,11414
218,0,185,0,GOLD_II,30,15,14614,168,0,153,0,GOLD_I,0,15,13044,496,0,483,0,GOLD_IV,75,15,13621,392,0,353,0,GOLD_IV,36,14,11467,178,0,160,0,GOLD_II,59,13,11237,21,0,21,0,GOLD_II,43,14,12489,66,0,64,0,GOLD_II,81,12,9465,156,0,174,0,GOLD_III,2,13,10523,172,0,144,0,GOLD_II,85,12,9060,483,0,503,0,GOLD_IV,43,12,8741
91,0,84,0,GOLD_I,28,18,27950,20,0,13,0,SILVER_I,100,18,22120,184,0,157,0,PLATINUM_III,58,18,21069,36,0,43,0,GOLD_II,52,18,23491,60,0,44,0,PLATINUM_IV,19,18,19521,21,0,21,0,GOLD_II,43,18,22076,50,0,55,0,GOLD_I,10,18,19096,42,0,40,0,GOLD_II,1,18,21133,172,0,144,0,GOLD_II,85,18,18515,52,0,70,0,SILVER_II,13,18,18749
238,0,238,0,PLATINUM_IV,12,16,15178,33,0,12,0,GOLD_II,22,17,17434,179,0,173,0,GOLD_I,16,17,16885,536,0,533,0,PLATINUM_IV,0,14,12947,299,0,298,0,PLATINUM_IV,0,15,13250,21,0,21,0,GOLD_II,43,16,15755,267,0,258,0,GOLD_I,0,18,22156,181,0,167,0,GOLD_II,30,17,17209,53,0,58,0,GOLD_II,0,17,17532,160,0,120,0,DIAMOND_IV,75,16,15952
406,0,411,0,GOLD_III,12,16,16280,499,0,474,0,GOLD_I,18,14,12784,179,0,145,0,PLATINUM_IV,75,14,12483,105,0,102,0,GOLD_I,12,15,13104,294,0,283,0,GOLD_I,37,14,11981,21,0,21,0,GOLD_II,43,14,12974,181,0,167,0,GOLD_II,30,13,10577,541,0,570,0,GOLD_IV,75,15,13512,228,0,250,0,PLATINUM_IV,3,12,9808,153,0,148,0,PLATINUM_IV,44,13,10559
581,0,549,0,DIAMOND_IV,1,13,10938,9,0,7,0,GOLD_IV,37,15,14250,9,0,7,0,GOLD_IV,37,14,12270,86,0,93,0,PLATINUM_IV,18,12,8900,141,0,106,0,GOLD_III,32,12,9053,21,0,21,0,GOLD_II,43,13,11286,28,0,23,0,GOLD_II,34,10,6676,104,0,89,0,PLATINUM_III,76,9,6061,46,0,55,0,GOLD_II,51,11,7900,14,0,14,0,GOLD_IV,76,8,4819
29,0,21,0,SILVER_I,100,16,16086,118,0,113,0,GOLD_IV,1,15,14549,34,0,20,0,GOLD_I,45,17,17178,8,0,10,0,GOLD_IV,69,16,16116,76,0,76,0,SILVER_I,8,13,10047,17,0,16,0,GOLD_IV,0,16,15391,11,0,5,0,SILVER_II,66,14,12841,42,0,34,0,GOLD_III,0,15,13909,91,0,93,0,GOLD_II,4,15,13352,34,0,40,0,GOLD_IV,36,14,12843
369,0,388,0,GOLD_II,6,16,16248,647,0,630,0,GOLD_II,36,16,15977,168,0,164,0,GOLD_II,1,17,17484,227,0,243,0,GOLD_III,61,17,17743,179,0,179,0,GOLD_III,0,15,13670,33,0,31,0,GOLD_IV,1,18,22645,183,0,165,0,GOLD_II,80,18,19334,165,0,181,0,GOLD_III,96,17,17040,91,0,93,0,GOLD_II,4,15,14625,160,0,146,0,GOLD_II,0,17,18068
