ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
318,0,289,0,MASTER_I,0,11,7995,128,0,109,0,DIAMOND_I,0,9,5046,185,0,159,0,DIAMOND_I,59,10,7243,791,0,769,0,DIAMOND_I,81,9,5124,242,0,217,0,DIAMOND_I,59,8,4990,392,0,368,0,DIAMOND_I,46,12,9219,400,0,344,0,MASTER_I,230,11,7749,79,0,78,0,DIAMOND_III,75,12,9944,817,0,804,0,DIAMOND_II,7,10,7106,283,0,272,0,MASTER_I,0,9,5784
75,0,64,0,DIAMOND_I,33,13,11053,169,0,146,0,MASTER_I,212,11,8324,349,0,353,0,DIAMOND_IV,0,11,8393,551,0,514,0,MASTER_I,257,10,7108,242,0,217,0,DIAMOND_I,59,9,5775,249,0,235,0,DIAMOND_II,16,13,10488,87,0,77,0,MASTER_I,2,12,9605,42,0,35,0,MASTER_I,0,12,8640,319,0,312,0,DIAMOND_I,19,12,8677,176,0,178,0,DIAMOND_I,3,11,7353
126,0,123,0,DIAMOND_I,100,9,6007,196,0,179,0,DIAMOND_II,69,12,9664,43,0,31,0,DIAMOND_IV,0,15,14154,220,0,215,0,MASTER_I,3,11,8232,242,0,217,0,DIAMOND_I,59,9,5970,61,0,48,0,DIAMOND_I,68,14,11888,42,0,19,0,PLATINUM_I,100,14,12742,207,0,191,0,DIAMOND_I,75,13,10332,364,0,383,0,DIAMOND_III,42,12,9876,73,0,61,0,MASTER_I,147,11,8186
117,0,94,0,MASTER_I,132,14,11664,145,0,115,0,DIAMOND_I,13,13,10495,347,0,310,0,MASTER_I,143,14,12354,169,0,166,0,DIAMOND_I,31,12,9458,242,0,217,0,DIAMOND_I,59,12,8846,394,0,386,0,MASTER_I,23,16,15211,433,0,396,0,MASTER_I,101,17,16849,56,0,49,0,MASTER_I,5,15,13316,81,0,86,0,DIAMOND_I,100,15,13184,195,0,192,0,DIAMOND_I,75,12,9484
250,0,225,0,DIAMOND_I,100,15,14006,102,0,89,0,DIAMOND_I,41,15,13645,154,0,118,0,DIAMOND_I,73,14,11504,227,0,218,0,DIAMOND_I,53,13,10974,533,0,544,0,MASTER_I,33,11,7725,629,0,627,0,DIAMOND_I,56,16,16124,215,0,217,0,MASTER_I,52,16,16087,612,0,599,0,DIAMOND_I,28,16,16226,260,0,220,0,MASTER_I,15,14,12707,301,0,242,0,MASTER_I,78,14,11717
21,0,29,0,DIAMOND_IV,0,15,13825,44,0,42,0,PLATINUM_I,75,14,12170,59,0,54,0,DIAMOND_IV,43,14,12546,142,0,128,0,MASTER_I,106,14,12592,267,0,247,0,MASTER_I,29,12,9647,22,0,24,0,DIAMOND_II,38,14,12977,308,0,296,0,DIAMOND_I,63,12,9564,612,0,599,0,DIAMOND_I,28,14,11646,381,0,394,0,MASTER_I,0,12,8707,143,0,124,0,MASTER_I,0,11,7479
653,0,641,0,DIAMOND_I,12,1,0,308,0,296,0,DIAMOND_I,63,3,1045,169,0,161,0,MASTER_I,45,2,574,381,0,394,0,MASTER_I,0,2,450,244,0,229,0,DIAMOND_I,1,2,450,144,0,105,0,DIAMOND_II,7,3,904,278,0,272,0,MASTER_I,18,3,985,612,0,599,0,DIAMOND_I,28,3,1007,151,0,153,0,DIAMOND_I,22,2,564,221,0,199,0,MASTER_I,29,2,564
475,0,409,0,DIAMOND_I,37,13,10036,145,0,123,0,DIAMOND_I,61,11,7605,243,0,257,0,DIAMOND_I,16,11,8449,119,0,133,0,DIAMOND_I,16,12,8970,505,0,516,0,DIAMOND_I,50,10,6709,263,0,247,0,MASTER_I,1,14,12142,1094,0,1072,0,DIAMOND_I,98,14,11854,612,0,599,0,DIAMOND_I,28,15,13057,249,0,233,0,DIAMOND_I,58,11,8331,197,0,194,0,DIAMOND_I,76,12,9056
145,0,123,0,DIAMOND_I,61,16,14943,128,0,107,0,DIAMOND_I,87,15,13124,381,0,394,0,MASTER_I,0,15,13867,136,0,153,0,DIAMOND_II,63,14,12182,83,0,73,0,DIAMOND_I,45,13,10495,236,0,171,0,MASTER_I,5,13,10541,83,0,63,0,DIAMOND_I,15,13,11051,612,0,599,0,DIAMOND_I,28,10,7266,249,0,233,0,DIAMOND_I,58,12,9512,410,0,379,0,DIAMOND_I,100,11,8333
171,0,139,0,MASTER_I,0,17,17643,81,0,82,0,DIAMOND_I,6,18,20547,11,0,13,0,PLATINUM_I,33,18,18526,36,0,53,0,PLATINUM_I,44,15,14496,388,0,367,0,DIAMOND_I,43,15,13628,42,0,45,0,DIAMOND_I,19,17,17158,52,0,63,0,DIAMOND_II,35,16,14865,267,0,232,0,MASTER_I,73,16,14847,206,0,208,0,MASTER_I,35,14,12463,482,0,420,0,MASTER_I,231,13,11294
