ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
133,0,148,0,BRONZE_III,15,16,14739,133,0,148,0,BRONZE_III,15,15,13660,454,0,422,0,BRONZE_IV,25,16,15688,27,0,36,0,BRONZE_IV,26,14,11737,32,0,28,0,IRON_III,51,14,12165,274,0,265,0,BRONZE_IV,40,14,12235,399,0,388,0,BRONZE_II,4,13,10208,236,0,212,0,BRONZE_IV,93,13,10096,58,0,60,0,IRON_I,0,12,9030,72,0,78,0,BRONZE_IV,36,11,7857
7,0,24,0,BRONZE_IV,0,15,14058,90,0,91,0,BRONZE_III,7,15,13473,53,0,68,0,BRONZE_III,6,15,14031,184,0,193,0,BRONZE_IV,30,13,10140,32,0,28,0,IRON_III,51,12,9637,210,0,227,0,BRONZE_IV,33,15,13727,91,0,136,0,IRON_IV,49,12,9470,54,0,70,0,BRONZE_III,20,14,11605,65,0,83,0,BRONZE_IV,19,12,9028,178,0,194,0,BRONZE_III,59,11,7777
92,0,129,0,IRON_II,78,13,10861,32,0,37,0,BRONZE_IV,63,12,9766,258,0,265,0,BRONZE_IV,5,13,10767,222,0,231,0,IRON_II,23,11,8441,32,0,28,0,IRON_III,51,11,8018,16,0,19,0,IRON_II,88,13,10942,45,0,51,0,BRONZE_III,35,16,16399,233,0,255,0,IRON_III,57,14,12140,32,0,38,0,BRONZE_III,1,12,9565,40,0,85,0,IRON_IV,0,11,7776
52,0,72,0,BRONZE_III,15,18,20883,114,0,103,0,IRON_II,4,18,21906,399,0,392,0,SILVER_IV,0,18,20367,31,0,40,0,IRON_II,26,16,15800,32,0,28,0,IRON_III,51,16,15478,68,0,80,0,IRON_I,26,18,18774,97,0,115,0,IRON_II,30,18,19502,283,0,294,0,BRONZE_IV,58,18,18383,76,0,79,0,BRONZE_II,9,18,20791,206,0,221,0,BRONZE_IV,36,17,16677
25,0,50,0,IRON_IV,40,9,5933,31,0,22,0,IRON_I,15,9,5098,50,0,58,0,BRONZE_IV,0,8,4996,9,0,23,0,BRONZE_IV,18,8,4367,4,0,17,0,IRON_III,90,8,4576,68,0,85,0,BRONZE_III,22,12,9518,113,0,122,0,BRONZE_III,3,10,6173,68,0,83,0,IRON_I,59,11,7335,154,0,154,0,BRONZE_IV,22,8,4339,784,0,801,0,BRONZE_IV,84,8,4287
142,0,147,0,BRONZE_IV,27,11,8513,25,0,50,0,IRON_IV,40,9,5175,79,0,108,0,BRONZE_IV,69,10,7100,784,0,801,0,BRONZE_IV,84,8,4232,4,0,17,0,IRON_III,90,8,4577,128,0,137,0,IRON_I,46,10,7008,25,0,52,0,IRON_II,44,8,4221,28,0,61,0,IRON_III,0,8,5020,4,0,16,0,IRON_I,0,8,4780,5,0,35,0,BRONZE_IV,0,7,3248
25,0,50,0,IRON_IV,40,13,11213,32,0,56,0,BRONZE_IV,75,16,14891,108,0,117,0,BRONZE_III,0,15,13786,186,0,197,0,BRONZE_IV,65,13,11410,4,0,17,0,IRON_III,90,14,12414,40,0,64,0,BRONZE_IV,7,18,20182,10,0,13,0,IRON_I,50,17,16557,120,0,112,0,BRONZE_III,68,16,15351,41,0,67,0,IRON_II,24,14,12942,36,0,49,0,BRONZE_III,38,14,12578
13,0,31,0,IRON_III,0,10,7127,194,0,198,0,IRON_I,9,11,8188,79,0,104,0,BRONZE_IV,0,10,6587,207,0,205,0,BRONZE_II,74,11,8361,93,0,132,0,BRONZE_IV,13,4,1603,329,0,354,0,BRONZE_IV,0,12,9037,39,0,40,0,BRONZE_IV,49,13,9986,8,0,24,0,BRONZE_III,29,13,11149,106,0,144,0,IRON_IV,53,11,8257,20,0,35,0,BRONZE_III,0,11,8412
13,0,31,0,IRON_III,0,14,11974,34,0,45,0,SILVER_III,37,13,9993,79,0,104,0,BRONZE_IV,0,13,11236,47,0,42,0,SILVER_IV,29,12,9118,124,0,99,0,GOLD_IV,50,13,10246,18,0,14,0,BRONZE_II,14,14,12544,6,0,14,0,BRONZE_III,77,12,9112,37,0,37,0,SILVER_IV,1,14,12300,98,0,97,0,SILVER_IV,0,12,9732,32,0,28,0,SILVER_II,39,11,8564
13,0,31,0,IRON_III,0,12,8634,34,0,45,0,SILVER_III,37,9,5536,79,0,104,0,BRONZE_IV,0,11,8578,47,0,57,0,BRONZE_II,70,9,5661,79,0,75,0,SILVER_I,0,9,5207,144,0,131,0,BRONZE_II,62,10,6821,235,0,245,0,BRONZE_III,55,8,5005,53,0,88,0,IRON_III,25,9,5102,38,0,63,0,BRONZE_IV,11,8,4175,201,0,182,0,SILVER_IV,0,7,3394
