rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
10,0,17,0,BRONZE_II,81,15,14228,9,0,5,0,BRONZE_I,45,14,12334,45,0,55,0,SILVER_IV,16,14,12011,12,0,10,0,SILVER_IV,62,15,13727,29,0,42,0,BRONZE_III,57,13,10299,45,0,42,0,GOLD_IV,31,13,10278,6,0,7,0,BRONZE_III,37,11,7645,23,0,20,0,BRONZE_II,73,12,9795,37,0,70,0,BRONZE_IV,59,11,8462,22,0,26,0,SILVER_IV,60,10,6871
36,0,42,0,SILVER_II,0,15,13155,9,0,5,0,BRONZE_I,45,16,15084,9,0,5,0,BRONZE_I,45,12,9902,18,0,18,0,SILVER_IV,42,12,9285,81,0,70,0,GOLD_IV,30,12,9208,31,0,25,0,SILVER_II,65,13,10641,5,0,9,0,BRONZE_I,90,12,8952,63,0,75,0,SILVER_I,0,12,9659,86,0,75,0,GOLD_IV,33,12,9351,16,0,18,0,SILVER_IV,17,9,5715
24,0,7,0,GOLD_I,25,12,9765,9,0,5,0,BRONZE_I,45,13,11219,146,0,154,0,SILVER_IV,46,12,8730,13,0,12,0,SILVER_II,54,11,8278,112,0,39,0,GOLD_IV,53,11,8298,21,0,41,0,BRONZE_I,7,9,5887,7,0,14,0,BRONZE_I,0,10,6499,246,0,234,0,GOLD_III,56,11,7782,246,0,234,0,GOLD_III,56,10,6588,45,0,53,0,SILVER_II,64,9,5153
38,0,52,0,BRONZE_I,2,16,15069,132,0,135,0,BRONZE_I,0,16,16224,367,0,365,0,BRONZE_II,88,15,14001,163,0,161,0,BRONZE_I,15,16,15007,221,0,230,0,BRONZE_II,0,13,10681,13,0,12,0,BRONZE_I,43,15,13654,13,0,11,0,BRONZE_IV,48,16,14752,70,0,68,0,BRONZE_I,60,17,16680,12,0,21,0,BRONZE_II,35,16,15482,129,0,131,0,BRONZE_I,1,15,13790
53,0,59,0,BRONZE_III,0,17,16961,74,0,85,0,BRONZE_III,10,15,14476,32,0,23,0,BRONZE_IV,37,15,13286,33,0,36,0,BRONZE_II,26,16,16381,109,0,106,0,BRONZE_I,16,14,12912,13,0,12,0,BRONZE_I,43,16,15869,13,0,11,0,BRONZE_IV,48,16,15748,60,0,82,0,BRONZE_IV,54,17,16921,47,0,45,0,BRONZE_I,18,14,12622,53,0,59,0,BRONZE_III,0,15,13561
59,0,69,0,SILVER_IV,75,17,16745,20,0,15,0,BRONZE_II,8,14,12067,18,0,29,0,BRONZE_II,80,14,12353,38,0,54,0,BRONZE_IV,3,14,11488,44,0,35,0,SILVER_II,47,13,10783,13,0,12,0,BRONZE_I,43,12,9291,16,0,13,0,BRONZE_III,40,14,11631,131,0,141,0,BRONZE_II,75,15,13199,32,0,40,0,BRONZE_I,53,14,12887,13,0,11,0,BRONZE_IV,48,12,9761
13,0,11,0,BRONZE_IV,48,12,9416,233,0,227,0,SILVER_IV,69,12,9812,145,0,154,0,SILVER_IV,0,12,9263,110,0,104,0,GOLD_IV,0,11,8115,267,0,252,0,PLATINUM_II,0,11,8034,79,0,102,0,BRONZE_III,37,15,13359,57,0,57,0,BRONZE_I,100,14,12005,224,0,228,0,GOLD_IV,80,15,13766,276,0,281,0,PLATINUM_IV,30,12,8642,276,0,281,0,PLATINUM_IV,30,12,8750
345,0,309,0,GOLD_III,14,18,24569,152,0,148,0,SILVER_IV,11,18,23820,330,0,271,0,PLATINUM_IV,12,18,21693,16,0,17,0,SILVER_IV,80,18,23273,111,0,115,0,GOLD_IV,16,18,21383,139,0,103,0,GOLD_II,5,18,29116,57,0,57,0,BRONZE_I,100,18,22241,8,0,9,0,BRONZE_I,79,18,28662,8,0,9,0,BRONZE_I,79,18,25377,48,0,87,0,SILVER_IV,41,17,18077
42,0,54,0,BRONZE_II,36,18,23142,136,0,126,0,SILVER_IV,27,18,18486,157,0,137,0,SILVER_III,13,18,19490,91,0,85,0,GOLD_IV,91,18,23069,6,0,10,0,BRONZE_II,92,16,16268,134,0,124,0,GOLD_IV,0,17,17149,57,0,57,0,BRONZE_I,100,17,18043,8,0,9,0,BRONZE_I,79,18,24535,6,0,12,0,BRONZE_III,71,17,17982,139,0,103,0,GOLD_II,5,18,25424
39,0,48,0,SILVER_IV,74,17,17583,73,0,94,0,SILVER_III,30,15,14312,35,0,34,0,SILVER_III,20,17,17305,79,0,95,0,SILVER_III,0,15,13596,98,0,81,0,SILVER_III,60,14,11638,58,0,79,0,SILVER_III,46,15,13934,163,0,142,0,SILVER_II,76,14,11815,44,0,43,0,BRONZE_I,53,14,12170,179,0,199,0,SILVER_III,49,13,10779,115,0,92,0,SILVER_III,25,12,9298
