rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
288,0,315,0,IRON_III,15,8,4166,21,0,25,0,BRONZE_IV,54,8,4977,108,0,124,0,IRON_II,6,10,7296,119,0,108,0,BRONZE_III,1,5,2104,108,0,100,0,BRONZE_II,15,5,1923,263,0,295,0,BRONZE_IV,15,9,5789,40,0,52,0,BRONZE_IV,0,8,4780,171,0,159,0,BRONZE_IV,41,9,5811,111,0,131,0,BRONZE_IV,79,8,4064,127,0,169,0,IRON_I,59,7,3703
379,0,382,0,IRON_II,75,18,18769,201,0,237,0,IRON_III,0,17,17552,122,0,119,0,BRONZE_IV,0,18,19829,61,0,81,0,IRON_I,53,17,16523,51,0,44,0,BRONZE_II,51,16,15593,109,0,132,0,IRON_II,84,18,21191,201,0,212,0,BRONZE_IV,89,16,15423,196,0,220,0,BRONZE_IV,0,18,18972,64,0,91,0,IRON_II,39,16,16295,57,0,59,0,BRONZE_III,75,15,14124
268,0,286,0,BRONZE_IV,34,15,13048,27,0,43,0,BRONZE_IV,4,11,7449,220,0,236,0,BRONZE_IV,60,14,12565,523,0,532,0,BRONZE_IV,61,11,8070,212,0,290,0,IRON_III,5,11,7707,109,0,132,0,IRON_II,84,14,11576,260,0,271,0,BRONZE_IV,40,13,10225,272,0,264,0,IRON_I,16,14,12641,652,0,640,0,BRONZE_IV,58,14,12400,358,0,369,0,BRONZE_IV,28,13,11083
28,0,38,0,BRONZE_III,31,16,16383,38,0,49,0,IRON_III,19,14,12601,195,0,232,0,IRON_II,11,14,12273,63,0,81,0,BRONZE_IV,0,15,13236,197,0,187,0,BRONZE_II,76,14,11758,109,0,132,0,IRON_II,84,13,10418,78,0,95,0,IRON_I,86,12,9842,757,0,807,0,IRON_IV,88,13,10646,573,0,556,0,BRONZE_IV,3,12,9590,96,0,90,0,BRONZE_IV,0,12,9513
74,0,67,0,BRONZE_II,21,14,11505,56,0,81,0,IRON_II,79,13,10042,130,0,165,0,BRONZE_IV,9,16,15118,22,0,37,0,IRON_I,78,11,7603,257,0,273,0,BRONZE_IV,70,11,8164,109,0,132,0,IRON_II,84,12,9038,104,0,114,0,IRON_III,47,9,5926,391,0,398,0,IRON_I,77,13,10346,292,0,285,0,SILVER_IV,45,10,7016,135,0,144,0,IRON_II,15,10,6842
46,0,52,0,IRON_II,46,15,14066,354,0,349,0,BRONZE_III,0,15,13197,34,0,102,0,IRON_III,15,16,14931,180,0,191,0,IRON_I,12,14,11816,64,0,46,0,BRONZE_II,17,13,10689,183,0,159,0,BRONZE_IV,40,16,16275,239,0,233,0,BRONZE_II,73,16,16141,332,0,333,0,BRONZE_III,0,17,17228,32,0,49,0,BRONZE_III,36,17,17096,201,0,189,0,BRONZE_I,23,14,12606
50,0,77,0,BRONZE_IV,0,16,14813,3,0,10,0,IRON_I,5,15,13256,443,0,481,0,IRON_II,52,15,13861,145,0,191,0,BRONZE_IV,38,14,12742,17,0,67,0,IRON_IV,0,12,8810,203,0,203,0,BRONZE_IV,72,17,17492,72,0,71,0,IRON_II,0,18,20717,227,0,240,0,BRONZE_IV,66,14,12977,27,0,43,0,IRON_I,15,13,10802,220,0,220,0,IRON_II,31,14,12280
289,0,270,0,BRONZE_IV,80,15,13989,94,0,99,0,IRON_I,39,13,10260,81,0,116,0,BRONZE_IV,47,14,11966,22,0,27,0,IRON_III,25,12,8901,7,0,38,0,IRON_III,55,11,8385,19,0,28,0,IRON_I,25,15,13710,72,0,71,0,IRON_II,0,16,15550,290,0,295,0,BRONZE_IV,15,15,13904,6,0,7,0,IRON_I,0,13,11210,224,0,233,0,BRONZE_IV,10,11,7977
20,0,29,0,IRON_I,12,15,13158,73,0,90,0,IRON_I,42,12,9740,81,0,140,0,IRON_IV,20,11,8423,91,0,120,0,BRONZE_IV,0,12,9403,86,0,95,0,BRONZE_IV,0,11,8073,68,0,100,0,BRONZE_IV,11,14,12135,72,0,71,0,IRON_II,0,15,14330,406,0,411,0,BRONZE_IV,75,15,13560,24,0,31,0,IRON_III,81,12,9379,119,0,109,0,IRON_I,0,12,8600
332,0,352,0,BRONZE_IV,9,16,16069,33,0,47,0,IRON_II,89,12,9901,20,0,39,0,IRON_II,93,14,12230,20,0,39,0,BRONZE_IV,0,13,10962,99,0,82,0,BRONZE_IV,76,13,10998,284,0,288,0,IRON_I,28,13,11374,72,0,71,0,IRON_II,0,15,13445,27,0,51,0,BRONZE_III,30,11,8510,141,0,124,0,BRONZE_III,18,13,10345,90,0,101,0,IRON_III,52,12,9654
