rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
32,0,18,0,PLATINUM_IV,0,12,9257,49,0,62,0,PLATINUM_III,92,12,8977,5,0,5,0,GOLD_IV,25,12,8590,39,0,29,0,GOLD_I,86,11,7468,10,0,11,0,GOLD_III,30,9,5890,47,0,36,0,PLATINUM_I,100,14,11704,33,0,18,0,PLATINUM_II,71,14,11653,364,0,350,0,PLATINUM_IV,62,14,12058,18,0,11,0,GOLD_I,27,13,10193,35,0,23,0,GOLD_I,39,11,7940
754,0,745,0,PLATINUM_I,31,16,15732,40,0,38,0,PLATINUM_IV,6,15,13425,53,0,30,0,PLATINUM_I,18,16,16298,135,0,123,0,PLATINUM_II,40,16,16413,232,0,224,0,DIAMOND_IV,0,13,11362,84,0,98,0,PLATINUM_II,8,14,12013,185,0,207,0,PLATINUM_IV,50,15,14093,143,0,131,0,PLATINUM_III,75,15,13133,18,0,11,0,GOLD_I,27,13,11414,419,0,387,0,PLATINUM_III,45,13,10737
37,0,41,0,GOLD_I,100,13,10479,18,0,12,0,GOLD_IV,0,11,7548,34,0,32,0,GOLD_I,35,11,7718,32,0,26,0,GOLD_I,89,11,7848,382,0,326,0,DIAMOND_IV,0,10,6384,146,0,131,0,DIAMOND_III,11,14,11637,59,0,44,0,PLATINUM_I,12,13,10835,63,0,43,0,DIAMOND_IV,21,14,11742,18,0,11,0,GOLD_I,27,14,12459,55,0,47,0,PLATINUM_II,15,10,6922
37,0,41,0,GOLD_I,100,15,13814,61,0,46,0,PLATINUM_II,19,14,12265,59,0,44,0,PLATINUM_I,12,14,12657,63,0,43,0,DIAMOND_IV,21,16,15738,658,0,660,0,PLATINUM_II,15,11,8444,33,0,26,0,PLATINUM_I,0,16,15699,18,0,12,0,GOLD_IV,0,13,11009,118,0,127,0,PLATINUM_IV,45,14,12600,18,0,11,0,GOLD_I,27,14,11653,382,0,326,0,DIAMOND_IV,0,13,10997
189,0,171,0,GOLD_I,38,18,23255,342,0,341,0,PLATINUM_IV,4,18,23775,9,0,14,0,GOLD_III,75,18,19941,119,0,116,0,GOLD_I,15,18,21436,108,0,111,0,GOLD_I,76,16,16198,27,0,23,0,GOLD_IV,15,18,28950,36,0,36,0,GOLD_I,86,18,18411,39,0,26,0,GOLD_II,50,18,19382,51,0,46,0,GOLD_I,30,17,17355,56,0,49,0,GOLD_III,72,16,15282
91,0,84,0,GOLD_IV,48,16,14855,60,0,59,0,SILVER_I,40,17,16758,60,0,59,0,SILVER_I,40,16,15362,119,0,116,0,GOLD_I,15,15,14056,59,0,58,0,SILVER_I,69,13,10673,19,0,12,0,SILVER_II,49,16,15012,56,0,40,0,GOLD_II,8,15,14428,220,0,201,0,GOLD_IV,75,16,16162,158,0,126,0,PLATINUM_III,25,17,16484,380,0,372,0,PLATINUM_III,29,15,14599
300,0,276,0,GOLD_I,83,17,17835,213,0,207,0,GOLD_II,68,18,19129,202,0,193,0,GOLD_I,48,16,15408,119,0,116,0,GOLD_I,15,15,14271,59,0,52,0,GOLD_I,66,17,17037,32,0,40,0,GOLD_II,75,18,19974,559,0,560,0,PLATINUM_IV,10,17,17312,234,0,249,0,GOLD_II,46,18,19681,96,0,111,0,GOLD_IV,84,17,18111,277,0,250,0,GOLD_I,100,16,15682
164,0,165,0,GOLD_II,1,16,15751,48,0,69,0,GOLD_II,55,16,15046,922,0,932,0,GOLD_II,66,16,15267,119,0,116,0,GOLD_I,15,16,16002,251,0,217,0,PLATINUM_IV,29,15,13259,179,0,194,0,GOLD_III,48,14,11899,339,0,329,0,GOLD_I,0,15,13307,310,0,295,0,GOLD_II,61,15,13716,179,0,184,0,GOLD_II,68,13,10253,204,0,191,0,GOLD_II,28,12,9698
507,0,495,0,GOLD_II,31,16,15390,133,0,136,0,PLATINUM_IV,0,16,14954,252,0,257,0,GOLD_I,34,15,14612,119,0,116,0,GOLD_I,15,16,15292,158,0,146,0,GOLD_II,77,13,10962,161,0,185,0,PLATINUM_IV,0,18,19673,335,0,326,0,PLATINUM_IV,5,17,18079,81,0,81,0,GOLD_I,74,17,17822,122,0,123,0,PLATINUM_IV,0,16,15296,287,0,286,0,GOLD_I,43,15,13773
72,0,74,0,GOLD_II,65,14,11718,9,0,14,0,GOLD_I,0,14,11562,17,0,21,0,GOLD_I,62,13,11394,38,0,23,0,GOLD_I,9,13,11272,28,0,22,0,GOLD_III,33,13,9982,104,0,86,0,PLATINUM_IV,53,15,14626,35,0,26,0,PLATINUM_IV,0,16,14954,10,0,10,0,GOLD_IV,8,15,14467,87,0,78,0,PLATINUM_I,44,15,13439,266,0,244,0,PLATINUM_IV,65,13,10074
154,0,111,0,PLATINUM_IV,92,17,18299,581,0,524,0,PLATINUM_II,1,17,16644,82,0,74,0,GOLD_I,5,17,17300,38,0,23,0,GOLD_I,9,16,16449,28,0,22,0,GOLD_III,33,15,13680,16,0,25,0,GOLD_II,73,16,15341,94,0,86,0,PLATINUM_IV,42,15,14000,120,0,97,0,PLATINUM_IV,47,16,15470,221,0,215,0,PLATINUM_IV,0,15,14117,100,0,100,0,GOLD_I,31,14,12825
