result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
0,171,170,BRONZE_IV,76,16,16012,147,146,SILVER_IV,40,15,13366,7,6,BRONZE_IV,81,15,13494,71,68,SILVER_I,9,16,14915,92,82,SILVER_IV,42,8,4464,20,27,BRONZE_I,9,17,17457,34,22,SILVER_II,73,18,19715,72,56,SILVER_IV,42,17,16518,144,143,SILVER_IV,24,14,12712,77,78,BRONZE_I,1,14,11810
1,57,57,BRONZE_I,48,14,12662,147,146,SILVER_IV,40,11,8111,7,6,BRONZE_IV,81,12,9271,158,151,SILVER_III,14,9,5724,13,10,BRONZE_II,28,10,6235,60,63,BRONZE_I,13,10,6338,279,279,SILVER_IV,33,11,7462,33,23,SILVER_II,75,13,10110,106,118,SILVER_IV,27,10,6146,357,326,SILVER_III,29,11,8005
1,141,141,BRONZE_IV,0,15,13528,147,146,SILVER_IV,40,17,18095,7,6,BRONZE_IV,81,15,14052,67,58,SILVER_IV,67,15,14412,328,340,SILVER_IV,43,13,10806,30,36,BRONZE_II,69,16,16001,142,125,SILVER_III,53,15,14018,365,401,BRONZE_II,65,16,15776,202,219,BRONZE_I,12,14,11739,91,76,BRONZE_II,64,14,12876
0,17,17,BRONZE_II,52,16,15387,37,49,BRONZE_IV,60,14,11582,7,6,BRONZE_IV,81,15,14351,18,17,SILVER_IV,8,16,15803,7,8,BRONZE_III,60,13,11177,91,76,BRONZE_II,64,16,14721,91,76,BRONZE_II,64,18,18992,3,11,BRONZE_IV,13,13,10777,14,14,BRONZE_I,51,16,16313,61,63,BRONZE_I,34,15,14220
0,3,10,BRONZE_IV,18,12,9307,3,10,BRONZE_IV,18,11,7511,7,6,BRONZE_IV,81,13,10924,48,67,BRONZE_IV,27,13,10762,7,8,BRONZE_III,60,12,9097,7,8,BRONZE_III,60,16,15583,323,348,BRONZE_I,51,13,10328,11,9,BRONZE_I,77,13,10640,37,39,BRONZE_II,62,13,10602,70,87,SILVER_IV,0,11,8393
1,161,182,BRONZE_II,23,14,12919,18,14,BRONZE_III,41,15,14245,6,8,SILVER_IV,1,15,14561,6,8,BRONZE_IV,28,14,11537,21,18,BRONZE_II,90,13,11347,60,46,BRONZE_II,69,13,11223,16,26,BRONZE_III,65,12,9160,29,31,BRONZE_III,62,14,12376,22,31,BRONZE_II,3,12,9519,22,31,BRONZE_II,3,12,9251
1,44,68,SILVER_II,59,15,13150,44,68,SILVER_II,59,18,18734,6,7,BRONZE_II,42,15,14200,6,8,BRONZE_IV,28,15,13590,21,18,BRONZE_II,90,13,10759,7,7,BRONZE_II,74,14,12935,19,23,SILVER_I,0,13,10754,20,18,SILVER_III,0,16,14927,120,104,GOLD_I,24,15,13490,38,47,SILVER_III,55,13,11051
0,44,68,SILVER_II,59,15,13847,44,68,SILVER_II,59,16,15509,6,7,BRONZE_II,42,17,16920,6,8,BRONZE_IV,28,14,12652,21,18,BRONZE_II,90,14,12938,97,96,SILVER_IV,67,17,17248,121,99,GOLD_III,16,18,22061,63,71,SILVER_I,34,14,12979,150,140,GOLD_II,45,16,16464,366,337,SILVER_II,61,17,16763
0,44,68,SILVER_II,59,13,10842,44,68,SILVER_II,59,13,11316,6,7,BRONZE_II,42,13,10305,6,8,BRONZE_IV,28,11,7599,21,18,BRONZE_II,90,11,7397,466,461,GOLD_IV,16,11,8372,11,9,BRONZE_II,57,13,10457,19,8,SILVER_II,54,13,10600,77,91,SILVER_III,19,12,9680,7,5,SILVER_IV,0,12,9479
1,44,68,SILVER_II,59,16,16103,44,68,SILVER_II,59,14,12906,6,7,BRONZE_II,42,15,13302,6,8,BRONZE_IV,28,12,9786,21,18,BRONZE_II,90,14,11536,95,81,SILVER_IV,25,14,11806,188,165,SILVER_I,8,14,12239,178,159,GOLD_IV,14,11,7914,18,25,BRONZE_III,70,14,12884,70,50,GOLD_II,0,14,12460
1,34,36,SILVER_II,75,17,16800,44,68,SILVER_II,59,17,16836,44,68,SILVER_II,59,16,14752,6,8,BRONZE_IV,28,15,13687,21,18,BRONZE_II,90,15,13430,113,119,SILVER_III,35,14,12235,20,20,SILVER_II,21,15,13387,43,43,SILVER_III,75,15,14481,43,43,SILVER_III,75,15,13477,56,47,SILVER_I,63,14,11652
0,44,68,SILVER_II,59,16,15493,53,53,SILVER_III,75,14,12195,53,53,SILVER_III,75,16,15489,6,8,BRONZE_IV,28,14,12529,6,7,BRONZE_II,42,13,10784,80,67,GOLD_III,79,15,13285,120,132,SILVER_IV,77,16,15653,90,66,SILVER_II,75,17,17484,20,21,SILVER_III,68,17,17159,30,25,GOLD_IV,0,18,18897
0,72,90,BRONZE_III,16,18,18567,11,14,BRONZE_II,64,16,16248,11,14,BRONZE_II,64,16,15814,4,8,BRONZE_IV,79,17,16992,5,11,BRONZE_III,66,15,14056,153,166,BRONZE_III,32,16,15635,153,166,BRONZE_III,32,17,17772,87,68,GOLD_III,42,18,18942,9,1,BRONZE_III,71,18,20011,5,8,IRON_I,56,15,14087
0,19,25,SILVER_IV,20,18,18931,19,25,SILVER_IV,20,15,13936,44,39,SILVER_II,62,17,17910,4,8,BRONZE_IV,79,16,15175,10,8,BRONZE_II,35,16,14864,10,23,BRONZE_II,43,16,15454,18,19,BRONZE_I,93,17,16538,110,96,SILVER_IV,1,18,19908,6,11,BRONZE_II,64,16,15681,22,10,SILVER_II,62,18,23847
1,70,41,GOLD_I,19,18,20175,6,10,BRONZE_III,75,14,12120,7,10,BRONZE_I,5,14,11529,4,8,BRONZE_IV,79,15,14013,18,27,BRONZE_II,65,13,10739,33,38,SILVER_II,0,15,14529,9,6,BRONZE_I,29,13,10786,12,11,BRONZE_II,90,15,14502,7,8,BRONZE_II,51,14,12475,14,20,BRONZE_I,18,13,10783
0,7,10,BRONZE_IV,59,8,4786,20,24,BRONZE_I,100,7,3668,2,9,BRONZE_III,0,8,4983,4,8,BRONZE_IV,79,7,3291,52,59,SILVER_III,5,3,746,26,21,SILVER_IV,1,8,4632,26,21,SILVER_IV,1,7,3826,26,21,SILVER_IV,1,9,5590,8,10,BRONZE_II,56,7,3372,45,55,SILVER_IV,2,6,2829
1,24,57,BRONZE_IV,9,16,16026,20,24,BRONZE_I,100,17,16672,19,16,SILVER_IV,2,17,18014,4,8,BRONZE_IV,79,16,15255,12,37,IRON_I,31,18,21917,11,13,BRONZE_I,52,18,20990,12,25,BRONZE_II,0,17,16719,19,16,BRONZE_I,40,16,15902,8,6,BRONZE_I,0,17,16672,8,6,BRONZE_I,0,16,15746
