result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,67,54,PLATINUM_III,17,17,17742,504,480,PLATINUM_II,78,17,17363,10,14,PLATINUM_III,63,17,17821,738,730,PLATINUM_IV,60,16,15858,158,161,PLATINUM_III,30,14,12781,176,162,PLATINUM_IV,75,18,19116,83,78,DIAMOND_IV,0,17,17618,167,118,PLATINUM_III,20,15,13469,195,179,PLATINUM_I,12,16,16289,571,585,PLATINUM_I,5,15,13734
0,316,308,PLATINUM_IV,46,15,13512,103,98,PLATINUM_III,61,14,12080,10,14,PLATINUM_III,63,13,10945,129,115,PLATINUM_II,64,13,10918,158,161,PLATINUM_III,30,13,10837,102,90,PLATINUM_III,9,16,16077,116,87,DIAMOND_I,34,16,15988,32,39,PLATINUM_III,15,15,14209,104,106,PLATINUM_III,72,15,13565,164,157,PLATINUM_III,41,14,12068
0,61,54,PLATINUM_III,0,14,12582,19,26,SILVER_II,75,12,9454,166,146,SILVER_I,44,14,11811,52,45,GOLD_II,37,12,9507,99,97,GOLD_III,55,11,8085,4,11,SILVER_II,47,15,13418,234,220,GOLD_IV,20,14,12795,31,37,SILVER_IV,95,13,11303,34,43,PLATINUM_II,0,14,12553,20,16,SILVER_II,32,13,11087
1,61,54,PLATINUM_III,0,15,14317,155,171,GOLD_III,39,11,8571,166,146,SILVER_I,44,15,13251,86,90,SILVER_IV,48,12,8963,159,165,SILVER_III,30,10,6354,86,74,SILVER_III,74,13,10325,86,74,SILVER_III,74,11,8270,86,74,SILVER_III,74,14,11657,36,29,SILVER_II,69,12,8642,36,29,SILVER_II,69,11,7469
0,61,54,PLATINUM_III,0,15,13043,166,146,SILVER_I,44,14,11918,166,146,SILVER_I,44,12,9062,123,115,SILVER_III,56,12,9619,48,45,GOLD_IV,50,11,7896,10,12,SILVER_II,75,14,12783,23,24,SILVER_I,61,15,13426,35,26,PLATINUM_IV,0,16,14987,197,181,PLATINUM_III,60,14,12634,52,36,GOLD_III,35,14,11497
1,61,54,PLATINUM_III,0,16,14748,29,24,SILVER_I,41,14,12032,166,146,SILVER_I,44,16,14853,42,39,GOLD_IV,0,14,12585,64,67,GOLD_IV,0,12,9891,511,447,GOLD_III,45,13,11254,77,120,IRON_IV,61,13,9967,161,162,SILVER_III,25,14,12441,186,151,GOLD_IV,93,13,10683,318,301,SILVER_I,28,10,6687
1,61,54,PLATINUM_III,0,17,17252,61,54,PLATINUM_III,0,14,11490,166,146,SILVER_I,44,15,14665,50,51,SILVER_III,83,13,10318,73,69,SILVER_I,12,12,9149,14,14,SILVER_I,0,14,12401,103,102,GOLD_IV,77,14,12787,48,51,GOLD_IV,21,15,13666,134,113,SILVER_IV,69,13,9987,169,167,SILVER_III,26,13,9966
0,61,54,PLATINUM_III,0,15,14098,83,102,GOLD_IV,58,13,10642,10,20,SILVER_IV,0,14,12113,52,59,GOLD_III,87,13,10333,23,31,SILVER_III,57,12,9092,26,32,BRONZE_II,23,15,13382,4,14,PLATINUM_IV,24,15,14442,4,14,PLATINUM_IV,24,16,16314,8,6,GOLD_II,71,14,11964,8,6,GOLD_II,71,13,10422
1,61,54,PLATINUM_III,0,18,34539,207,201,SILVER_III,49,18,21336,10,20,SILVER_IV,0,18,22985,44,35,GOLD_II,0,18,20412,25,27,SILVER_IV,13,18,20391,180,207,GOLD_IV,13,18,24817,181,167,GOLD_III,66,18,23361,150,139,GOLD_III,39,18,27053,63,51,GOLD_IV,61,18,21157,5,13,SILVER_II,56,17,17845
1,360,338,PLATINUM_II,41,14,12874,7,6,PLATINUM_III,25,14,12933,47,41,PLATINUM_III,17,15,13965,98,69,PLATINUM_I,21,15,14144,13,9,GOLD_II,1,14,12927,23,30,PLATINUM_IV,42,13,10865,265,268,PLATINUM_II,26,14,11595,26,16,GOLD_I,46,15,13143,13,19,PLATINUM_IV,81,13,11256,153,153,PLATINUM_II,16,12,8985
