ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
520,0,534,0,GOLD_IV,0,14,12663,33,0,39,0,GOLD_IV,11,16,14873,137,0,121,0,GOLD_II,29,15,13963,61,0,69,0,SILVER_II,79,13,11087,115,0,124,0,GOLD_IV,32,13,10154,208,0,203,0,GOLD_IV,62,18,18382,382,0,348,0,PLATINUM_IV,25,16,15114,65,0,48,0,GOLD_IV,65,13,11262,53,0,51,0,GOLD_IV,0,15,13363,100,0,102,0,GOLD_IV,0,15,14339
210,0,227,0,GOLD_III,37,18,19611,170,0,179,0,GOLD_IV,0,18,21695,48,0,39,0,SILVER_I,40,17,16998,374,0,362,0,GOLD_IV,0,14,12378,64,0,81,0,GOLD_I,16,14,11743,328,0,302,0,GOLD_I,29,16,15400,135,0,116,0,GOLD_III,0,15,13466,65,0,48,0,GOLD_IV,65,15,13077,86,0,103,0,GOLD_IV,11,15,14586,213,0,193,0,GOLD_II,89,14,11529
96,0,97,0,GOLD_IV,59,14,11822,289,0,305,0,SILVER_II,31,16,16376,178,0,157,0,GOLD_III,67,16,15425,58,0,73,0,GOLD_IV,0,14,11579,207,0,213,0,GOLD_IV,40,13,10801,201,0,190,0,GOLD_IV,0,16,14772,234,0,225,0,GOLD_III,90,16,16416,382,0,390,0,GOLD_IV,9,18,19192,396,0,392,0,GOLD_IV,75,16,15647,245,0,234,0,GOLD_IV,0,14,11673
96,0,99,0,GOLD_IV,55,18,19379,416,0,430,0,SILVER_I,72,17,17098,194,0,201,0,GOLD_IV,0,16,16271,58,0,73,0,GOLD_IV,0,17,17709,42,0,38,0,GOLD_IV,1,15,13341,73,0,85,0,GOLD_IV,59,18,22467,159,0,154,0,GOLD_III,22,18,23832,462,0,447,0,GOLD_II,10,17,18321,178,0,169,0,GOLD_IV,35,18,22426,102,0,108,0,GOLD_IV,66,17,17455
160,0,167,0,GOLD_IV,18,18,19023,260,0,264,0,GOLD_III,0,15,14472,363,0,389,0,SILVER_III,0,15,13491,58,0,73,0,GOLD_IV,0,17,17723,54,0,56,0,GOLD_II,36,15,14131,81,0,107,0,GOLD_IV,51,18,21159,190,0,202,0,GOLD_IV,14,17,17825,10,0,5,0,GOLD_IV,17,18,18378,144,0,147,0,SILVER_III,78,17,17332,245,0,226,0,GOLD_IV,57,16,16435
267,0,258,0,GOLD_IV,28,17,16906,271,0,271,0,GOLD_III,11,15,14086,64,0,50,0,GOLD_IV,40,16,16215,79,0,62,0,GOLD_IV,35,14,12884,127,0,137,0,GOLD_IV,0,15,13612,127,0,127,0,SILVER_II,19,15,13072,157,0,143,0,GOLD_IV,75,15,13949,36,0,21,0,GOLD_IV,72,14,12954,275,0,275,0,GOLD_IV,50,15,13301,217,0,197,0,GOLD_III,42,11,7754
17,0,22,0,SILVER_I,45,15,14321,424,0,430,0,GOLD_IV,28,15,13171,64,0,50,0,GOLD_IV,40,15,14007,79,0,62,0,GOLD_IV,35,14,12015,330,0,348,0,GOLD_III,14,13,10895,205,0,203,0,GOLD_III,82,18,18876,111,0,115,0,GOLD_III,75,15,14509,590,0,573,0,GOLD_III,27,17,17681,260,0,233,0,GOLD_II,32,15,13793,247,0,246,0,GOLD_I,28,14,12788
134,0,128,0,GOLD_IV,90,18,18610,56,0,46,0,GOLD_IV,76,17,17651,64,0,50,0,GOLD_IV,40,18,20786,79,0,62,0,GOLD_IV,35,17,17412,90,0,113,0,GOLD_IV,53,15,13871,82,0,69,0,GOLD_III,15,18,26642,557,0,590,0,GOLD_III,15,17,17045,99,0,84,0,GOLD_III,5,18,19146,161,0,192,0,GOLD_IV,14,16,15507,374,0,377,0,GOLD_III,0,15,13106
98,0,102,0,GOLD_III,34,16,14780,76,0,68,0,GOLD_IV,90,15,13665,64,0,50,0,GOLD_IV,40,14,12385,79,0,62,0,GOLD_IV,35,16,16090,180,0,172,0,GOLD_III,41,14,12964,220,0,214,0,GOLD_IV,73,14,12671,78,0,77,0,GOLD_IV,0,14,11631,195,0,205,0,PLATINUM_IV,30,15,13085,341,0,346,0,GOLD_IV,8,13,10221,94,0,119,0,GOLD_IV,56,14,11444
165,0,127,0,DIAMOND_I,4,14,12297,24,0,27,0,PLATINUM_I,65,13,11237,27,0,22,0,GOLD_IV,50,13,9987,254,0,266,0,GOLD_IV,6,14,11520,121,0,118,0,DIAMOND_I,42,15,13460,193,0,152,0,MASTER_I,458,14,11655,33,0,32,0,PLATINUM_I,100,13,10050,304,0,289,0,GRANDMASTER_I,499,15,13250,92,0,82,0,MASTER_I,48,12,9011,25,0,18,0,GOLD_I,63,10,6932
