rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
83,0,60,0,SILVER_IV,89,18,19915,30,0,36,0,BRONZE_I,24,17,17095,99,0,97,0,SILVER_IV,87,16,15726,16,0,18,0,BRONZE_IV,30,15,13805,45,0,34,0,SILVER_III,29,16,15440,192,0,204,0,BRONZE_II,92,18,20240,235,0,240,0,SILVER_IV,75,17,17731,512,0,521,0,BRONZE_I,0,18,20879,95,0,121,0,SILVER_IV,11,18,20817,102,0,102,0,SILVER_III,73,16,16080
8,0,16,0,BRONZE_IV,0,14,12335,25,0,24,0,BRONZE_III,4,15,13606,15,0,19,0,BRONZE_IV,82,13,10465,8,0,7,0,BRONZE_IV,83,12,9677,14,0,12,0,BRONZE_IV,0,14,11636,6,0,5,0,BRONZE_IV,50,15,13905,324,0,321,0,BRONZE_II,0,15,13807,321,0,322,0,BRONZE_II,61,15,13239,229,0,230,0,BRONZE_IV,24,14,12575,132,0,121,0,SILVER_IV,27,14,12530
9,0,4,0,BRONZE_I,22,12,9147,25,0,25,0,SILVER_IV,78,12,9526,24,0,24,0,SILVER_IV,87,13,11020,17,0,10,0,SILVER_IV,1,12,9652,16,0,6,0,BRONZE_I,100,11,7700,13,0,10,0,BRONZE_IV,0,8,4847,8,0,5,0,BRONZE_I,1,10,6168,8,0,5,0,BRONZE_I,1,12,9251,10,0,10,0,BRONZE_I,17,11,7585,15,0,12,0,BRONZE_I,66,10,7274
12,0,19,0,BRONZE_I,14,17,17096,19,0,13,0,BRONZE_I,48,18,23603,22,0,33,0,BRONZE_III,63,17,18166,10,0,18,0,BRONZE_II,95,18,19661,7,0,11,0,BRONZE_IV,37,17,17837,13,0,10,0,BRONZE_IV,0,18,22159,599,0,609,0,BRONZE_II,21,18,22372,599,0,609,0,BRONZE_II,21,18,28151,101,0,92,0,SILVER_IV,77,18,22559,12,0,19,0,BRONZE_I,14,18,21212
18,0,16,0,BRONZE_I,100,13,10879,39,0,38,0,SILVER_IV,69,14,12093,3,0,7,0,BRONZE_III,48,15,13899,55,0,62,0,BRONZE_III,97,15,14196,55,0,62,0,BRONZE_III,97,12,9717,13,0,10,0,BRONZE_IV,0,14,13017,357,0,343,0,BRONZE_IV,60,17,16737,357,0,343,0,BRONZE_IV,60,16,15123,17,0,27,0,BRONZE_I,7,13,10637,14,0,17,0,BRONZE_I,37,15,13029
38,0,53,0,BRONZE_IV,2,17,17050,103,0,115,0,IRON_III,75,14,11878,436,0,397,0,BRONZE_IV,64,16,14729,225,0,271,0,BRONZE_IV,41,16,14836,45,0,43,0,BRONZE_IV,36,15,13800,25,0,43,0,IRON_II,21,18,21869,24,0,39,0,BRONZE_III,11,16,16389,18,0,36,0,BRONZE_IV,4,16,15311,72,0,72,0,BRONZE_I,64,15,14122,41,0,66,0,IRON_III,35,14,12229
163,0,160,0,BRONZE_IV,0,14,12248,232,0,231,0,IRON_III,74,14,12981,127,0,136,0,IRON_III,44,13,10705,142,0,156,0,IRON_II,50,11,7758,45,0,43,0,BRONZE_IV,36,11,8365,59,0,86,0,IRON_III,7,14,12466,291,0,302,0,IRON_II,31,12,8668,9,0,12,0,IRON_I,0,12,9431,309,0,355,0,BRONZE_III,9,11,7898,26,0,53,0,IRON_II,41,11,7880
161,0,170,0,BRONZE_IV,9,13,10439,193,0,207,0,BRONZE_IV,0,11,8334,164,0,176,0,BRONZE_III,44,12,9091,139,0,160,0,BRONZE_III,0,11,7887,45,0,43,0,BRONZE_IV,36,10,6957,33,0,66,0,IRON_III,61,13,10527,38,0,63,0,IRON_I,41,13,11260,42,0,67,0,IRON_I,35,14,12923,118,0,119,0,BRONZE_IV,19,12,9625,137,0,146,0,BRONZE_IV,28,11,8116
220,0,226,0,BRONZE_IV,17,12,9344,164,0,172,0,BRONZE_IV,60,12,9481,163,0,163,0,IRON_I,14,13,10968,154,0,144,0,IRON_I,83,12,8601,45,0,43,0,BRONZE_IV,36,12,9730,16,0,29,0,IRON_I,14,11,7763,143,0,155,0,IRON_I,55,10,6895,136,0,147,0,BRONZE_IV,36,10,6230,26,0,54,0,IRON_III,98,11,7944,6,0,24,0,IRON_I,81,11,7560
70,0,78,0,BRONZE_IV,46,11,8357,229,0,230,0,BRONZE_IV,0,9,5086,57,0,82,0,BRONZE_IV,12,11,8326,63,0,62,0,IRON_I,0,9,5891,45,0,43,0,BRONZE_IV,36,8,4809,263,0,276,0,BRONZE_IV,62,11,7952,11,0,33,0,IRON_III,70,11,8562,235,0,251,0,BRONZE_III,13,13,10691,316,0,309,0,BRONZE_II,24,12,8601,146,0,165,0,BRONZE_III,10,10,6666
