result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,129,134,BRONZE_II,17,15,14264,175,185,IRON_III,43,14,11712,4,9,BRONZE_III,71,14,12444,72,63,BRONZE_II,45,13,10444,72,63,BRONZE_II,45,12,8846,316,319,IRON_I,92,16,15896,168,181,SILVER_IV,70,16,14726,145,179,BRONZE_II,25,15,14322,43,37,BRONZE_III,53,15,14180,322,326,SILVER_II,25,14,12091
0,35,55,SILVER_IV,33,10,6308,17,12,GOLD_IV,1,9,5611,4,9,BRONZE_III,71,10,6389,42,19,BRONZE_I,71,9,5623,36,66,IRON_III,0,6,3104,23,26,SILVER_IV,15,11,8499,23,26,SILVER_IV,15,10,6422,130,108,SILVER_III,72,12,8691,7,8,BRONZE_I,49,11,7568,36,57,BRONZE_II,57,9,6026
0,27,22,SILVER_II,52,15,14338,10,6,SILVER_I,100,14,12328,4,9,BRONZE_III,71,13,10490,29,34,SILVER_III,60,13,10221,38,48,SILVER_III,5,11,8371,257,263,GOLD_IV,14,16,14804,257,263,GOLD_IV,14,16,15648,7,6,SILVER_III,57,15,14646,12,13,SILVER_III,98,15,13422,21,33,SILVER_IV,45,13,10104
1,15,10,SILVER_IV,79,16,16370,10,6,SILVER_I,100,17,17101,4,9,BRONZE_III,71,15,13161,30,16,GOLD_IV,1,15,13523,82,81,SILVER_II,58,14,12821,32,29,SILVER_I,16,15,14417,30,30,SILVER_II,70,14,11981,38,49,SILVER_III,75,15,14214,327,282,SILVER_II,44,14,12043,8,16,BRONZE_I,63,12,9118
0,229,197,SILVER_IV,64,15,14575,58,63,SILVER_IV,0,14,11526,143,138,SILVER_III,22,16,16115,44,50,BRONZE_I,0,15,14497,27,24,SILVER_IV,0,14,11492,44,43,SILVER_IV,63,15,13147,31,37,SILVER_IV,49,15,13798,286,278,SILVER_III,0,14,12205,181,154,SILVER_IV,91,14,12680,41,37,BRONZE_III,33,12,8727
1,101,97,BRONZE_III,75,18,27333,176,188,BRONZE_III,99,18,23682,188,210,BRONZE_II,67,18,28164,85,107,BRONZE_IV,91,18,23779,346,330,BRONZE_III,34,18,20353,274,286,BRONZE_II,5,18,26873,450,453,BRONZE_II,22,18,26838,205,180,BRONZE_III,50,18,23565,139,108,BRONZE_II,70,18,20387,41,37,BRONZE_III,33,17,18097
0,149,164,BRONZE_III,75,18,20208,303,281,SILVER_IV,11,18,19184,209,205,BRONZE_I,0,17,17545,11,10,BRONZE_IV,42,16,16252,95,92,BRONZE_II,14,16,15931,76,74,BRONZE_III,47,16,14945,443,436,BRONZE_II,14,16,15945,31,42,BRONZE_III,46,16,15430,747,727,BRONZE_I,9,16,14993,41,37,BRONZE_III,33,17,17283
1,189,203,BRONZE_III,27,15,14634,263,269,BRONZE_II,60,15,14384,266,250,BRONZE_III,22,15,13708,131,136,BRONZE_III,2,15,13388,381,385,BRONZE_III,12,15,13684,66,81,BRONZE_III,0,15,14122,372,367,BRONZE_III,61,15,13527,45,38,BRONZE_III,75,16,15432,208,218,BRONZE_II,57,15,13783,41,37,BRONZE_III,33,13,11418
1,141,156,BRONZE_IV,72,11,8372,535,527,BRONZE_III,1,12,9945,190,192,BRONZE_II,0,13,10244,266,282,BRONZE_III,3,12,9443,129,146,BRONZE_III,98,10,6690,289,308,BRONZE_IV,56,13,10337,205,224,BRONZE_III,57,13,10029,186,202,BRONZE_III,72,14,11667,452,460,BRONZE_II,72,14,11595,41,37,BRONZE_III,33,12,9181
1,73,77,BRONZE_II,27,12,9088,168,137,BRONZE_III,89,10,6710,15,31,IRON_II,77,9,5081,266,282,BRONZE_III,3,10,6531,16,26,IRON_I,100,8,5005,202,238,BRONZE_II,82,12,9501,240,259,BRONZE_IV,65,10,7091,137,142,BRONZE_II,11,12,9013,331,346,BRONZE_II,52,10,6809,41,37,BRONZE_III,33,10,6791
