main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
434,0,409,0,GRANDMASTER_I,504,12,9860,242,0,236,0,DIAMOND_II,75,13,10912,164,0,168,0,DIAMOND_II,75,14,11978,993,0,980,0,MASTER_I,332,13,9967,568,0,547,0,GRANDMASTER_I,574,11,7638,344,0,327,0,GRANDMASTER_I,503,12,9769,212,0,188,0,DIAMOND_II,75,12,8699,33,0,26,0,DIAMOND_II,75,10,6788,73,0,53,0,GRANDMASTER_I,513,11,7607,231,0,244,0,PLATINUM_I,90,10,6706
259,0,248,0,MASTER_I,213,13,11045,129,0,106,0,DIAMOND_II,51,14,12920,164,0,168,0,DIAMOND_II,75,15,13591,601,0,588,0,GRANDMASTER_I,408,14,11662,254,0,236,0,MASTER_I,450,12,8639,141,0,132,0,DIAMOND_II,75,13,11387,150,0,136,0,DIAMOND_II,75,13,10230,33,0,26,0,DIAMOND_II,75,12,9639,320,0,319,0,MASTER_I,178,11,8241,71,0,67,0,DIAMOND_II,75,10,6512
141,0,132,0,DIAMOND_II,75,14,12004,473,0,467,0,GRANDMASTER_I,567,16,15304,144,0,106,0,MASTER_I,1,15,14198,335,0,300,0,CHALLENGER_I,796,15,14002,184,0,187,0,DIAMOND_II,75,12,8852,249,0,202,0,CHALLENGER_I,1014,17,17782,11,0,6,0,PLATINUM_I,88,15,13761,33,0,26,0,DIAMOND_II,75,16,15086,391,0,366,0,MASTER_I,81,15,14519,123,0,73,0,DIAMOND_II,68,13,11415
94,0,94,0,DIAMOND_II,75,17,17293,129,0,106,0,DIAMOND_II,51,14,11516,178,0,170,0,DIAMOND_I,90,15,13338,74,0,55,0,GRANDMASTER_I,465,13,10630,184,0,191,0,DIAMOND_III,46,12,9138,266,0,253,0,MASTER_I,112,14,13011,223,0,222,0,DIAMOND_IV,31,15,13140,33,0,26,0,DIAMOND_II,75,14,12456,179,0,183,0,DIAMOND_II,81,15,13543,131,0,141,0,DIAMOND_I,38,14,11532
171,0,164,0,MASTER_I,190,18,20321,410,0,345,0,CHALLENGER_I,1178,18,22657,226,0,176,0,GRANDMASTER_I,465,18,20388,107,0,95,0,DIAMOND_I,50,18,19384,187,0,188,0,MASTER_I,0,16,15956,161,0,147,0,DIAMOND_I,52,18,18492,87,0,90,0,DIAMOND_II,82,18,19420,33,0,26,0,DIAMOND_II,75,16,15821,70,0,55,0,DIAMOND_II,75,17,17476,263,0,254,0,MASTER_I,335,15,13124
37,0,56,0,DIAMOND_I,3,16,15098,150,0,81,0,DIAMOND_III,13,17,17622,289,0,301,0,DIAMOND_II,45,14,12947,95,0,83,0,DIAMOND_II,54,15,14579,1060,0,1040,0,DIAMOND_II,26,13,10631,228,0,210,0,DIAMOND_II,0,16,15254,47,0,26,0,PLATINUM_I,60,14,12739,582,0,574,0,DIAMOND_II,17,16,15359,120,0,99,0,DIAMOND_I,59,14,12835,19,0,24,0,PLATINUM_I,70,13,10097
26,0,23,0,DIAMOND_IV,1,16,15182,405,0,370,0,DIAMOND_IV,66,16,14788,160,0,185,0,DIAMOND_III,18,17,16691,123,0,94,0,DIAMOND_III,9,14,11782,558,0,561,0,DIAMOND_II,41,13,11296,228,0,210,0,DIAMOND_II,0,14,12587,558,0,529,0,DIAMOND_I,59,12,8690,379,0,376,0,DIAMOND_IV,63,13,11434,443,0,401,0,DIAMOND_II,18,13,11158,346,0,332,0,DIAMOND_III,5,12,8687
570,0,588,0,DIAMOND_II,75,12,9080,378,0,347,0,DIAMOND_II,75,14,11653,327,0,319,0,MASTER_I,226,14,12035,378,0,352,0,MASTER_I,373,14,11605,649,0,589,0,MASTER_I,66,10,6658,110,0,114,0,MASTER_I,40,11,8463,179,0,155,0,DIAMOND_I,59,12,9720,263,0,276,0,DIAMOND_I,34,12,9513,363,0,357,0,DIAMOND_II,75,11,8327,73,0,59,0,DIAMOND_II,75,10,6382
311,0,306,0,MASTER_I,73,14,12266,105,0,101,0,DIAMOND_II,4,14,12042,71,0,58,0,DIAMOND_I,40,14,12173,43,0,40,0,DIAMOND_II,75,12,9456,147,0,150,0,DIAMOND_I,75,12,9055,84,0,86,0,DIAMOND_I,12,16,15578,386,0,350,0,MASTER_I,276,16,15205,627,0,616,0,MASTER_I,312,14,12691,47,0,41,0,DIAMOND_I,75,14,12041,73,0,59,0,DIAMOND_II,75,12,9136
132,0,120,0,DIAMOND_II,75,16,14720,529,0,515,0,MASTER_I,395,17,16724,93,0,74,0,MASTER_I,273,17,17234,140,0,138,0,DIAMOND_I,75,16,15459,331,0,305,0,GRANDMASTER_I,511,14,11924,161,0,117,0,CHALLENGER_I,903,18,20005,140,0,131,0,DIAMOND_I,75,18,19323,121,0,112,0,DIAMOND_II,75,18,18380,147,0,127,0,DIAMOND_I,100,15,13641,73,0,59,0,DIAMOND_II,75,15,14222
519,0,486,0,MASTER_I,30,15,14496,152,0,163,0,DIAMOND_I,36,13,10846,279,0,229,0,GRANDMASTER_I,458,15,13751,305,0,302,0,MASTER_I,162,13,11390,96,0,80,0,MASTER_I,224,12,8828,410,0,394,0,MASTER_I,303,17,17938,418,0,378,0,GRANDMASTER_I,699,16,14794,286,0,295,0,DIAMOND_I,6,16,14934,580,0,574,0,MASTER_I,38,15,13426,73,0,59,0,DIAMOND_II,75,12,9775
