result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
0,283,308,BRONZE_IV,11,11,7470,216,201,IRON_I,60,9,5060,192,168,SILVER_II,28,12,8580,281,292,BRONZE_IV,38,9,5333,54,76,BRONZE_IV,0,9,5722,42,64,BRONZE_IV,0,8,4899,180,198,IRON_III,42,8,4611,2,23,BRONZE_IV,75,9,5670,86,102,IRON_III,37,9,5714,124,156,BRONZE_IV,25,8,4981
0,176,180,BRONZE_IV,0,17,16897,38,32,IRON_II,31,18,19045,53,62,BRONZE_III,12,15,14231,17,21,BRONZE_IV,1,17,17604,134,147,IRON_I,74,15,14569,737,735,BRONZE_IV,29,14,12960,39,60,IRON_III,90,16,15110,668,643,BRONZE_II,14,17,16556,86,102,IRON_III,37,15,13703,400,406,BRONZE_II,43,15,14587
1,334,332,BRONZE_I,4,17,16859,25,21,SILVER_IV,30,15,13159,126,141,BRONZE_III,26,17,16979,5,11,BRONZE_III,54,15,13259,8,17,IRON_I,66,14,12968,15,10,SILVER_IV,36,18,20723,3,18,IRON_I,1,16,15072,95,38,PLATINUM_III,69,17,16665,86,102,IRON_III,37,17,16536,95,38,PLATINUM_III,69,17,17589
0,183,184,BRONZE_IV,48,13,11292,217,202,BRONZE_IV,53,12,9012,130,126,BRONZE_III,10,13,10282,246,271,IRON_III,25,11,8197,80,101,IRON_II,48,9,5428,17,45,IRON_IV,29,9,5442,264,247,BRONZE_II,28,10,6256,74,94,BRONZE_IV,48,11,8225,86,102,IRON_III,37,9,5922,124,156,BRONZE_IV,25,11,8144
0,423,488,IRON_III,10,15,13051,281,247,SILVER_IV,16,14,11445,164,181,IRON_II,90,15,13265,149,168,BRONZE_IV,0,13,11025,182,246,IRON_IV,70,13,10701,252,375,IRON_IV,75,14,12192,73,100,IRON_I,63,13,10600,265,266,BRONZE_III,9,11,8104,86,102,IRON_III,37,14,11780,52,64,IRON_I,71,10,7016
1,9,25,BRONZE_IV,6,11,7982,15,24,IRON_I,47,10,6458,344,347,BRONZE_III,30,12,9097,88,85,BRONZE_III,14,11,7344,275,291,BRONZE_III,22,11,8039,415,390,SILVER_IV,0,15,13275,112,106,BRONZE_IV,46,13,11170,150,148,BRONZE_III,60,13,10865,39,54,SILVER_IV,36,13,9998,87,102,IRON_III,89,11,8295
0,255,360,IRON_IV,33,12,9184,219,251,BRONZE_IV,23,14,12103,40,31,BRONZE_III,57,14,12300,483,468,BRONZE_IV,51,14,12165,27,58,IRON_III,12,14,11741,40,47,IRON_I,42,13,9986,205,194,BRONZE_IV,4,12,9042,126,160,IRON_I,97,11,7824,118,153,IRON_III,60,10,6712,87,102,IRON_III,89,12,9400
1,130,162,IRON_II,59,8,4977,82,115,IRON_IV,75,4,1441,211,230,IRON_II,53,8,4768,426,427,BRONZE_III,27,7,3358,357,382,IRON_II,0,6,2895,393,415,IRON_II,3,7,3965,189,220,BRONZE_IV,48,6,3090,220,185,BRONZE_III,17,6,3154,271,313,IRON_I,28,6,2456,87,102,IRON_III,89,8,4974
0,532,653,IRON_IV,93,12,9024,91,107,BRONZE_IV,76,18,21396,38,54,BRONZE_IV,62,14,12949,32,44,BRONZE_III,0,13,10206,24,36,IRON_I,39,11,7703,61,107,IRON_IV,83,11,7654,156,215,IRON_IV,45,11,8304,288,335,BRONZE_III,59,13,11347,39,54,SILVER_IV,36,13,9966,87,102,IRON_III,89,11,8571
1,3,19,BRONZE_IV,0,13,11166,28,35,BRONZE_IV,0,12,9519,45,43,BRONZE_II,15,14,11857,69,80,BRONZE_III,0,13,10987,90,81,BRONZE_I,46,12,8989,60,92,BRONZE_IV,64,15,13666,39,54,SILVER_IV,36,13,10253,152,135,GOLD_IV,1,16,15098,98,119,BRONZE_IV,12,12,9130,87,102,IRON_III,89,11,7424
0,126,120,BRONZE_II,48,17,18293,34,44,BRONZE_II,33,18,19507,571,580,BRONZE_II,51,16,16130,323,305,BRONZE_III,29,17,16729,81,92,BRONZE_IV,75,16,15997,6,18,IRON_I,23,17,17890,119,109,BRONZE_II,3,15,14550,189,182,BRONZE_III,79,17,16547,39,54,SILVER_IV,36,17,16548,87,102,IRON_III,89,14,12120
0,14,25,BRONZE_III,46,16,15065,185,180,BRONZE_IV,47,14,12080,102,129,BRONZE_I,77,16,15242,120,131,BRONZE_III,47,15,13805,257,226,BRONZE_II,28,14,12278,491,502,BRONZE_IV,87,15,13565,259,236,BRONZE_III,0,14,11727,28,36,BRONZE_IV,30,14,11478,39,54,SILVER_IV,36,15,13020,87,102,IRON_III,89,14,11871
0,7,8,BRONZE_IV,59,13,10540,275,277,BRONZE_II,40,13,10834,6,6,BRONZE_IV,30,13,10977,298,322,IRON_II,11,12,8797,36,45,IRON_III,0,10,6854,39,63,BRONZE_IV,33,14,12140,355,317,BRONZE_IV,78,15,14069,113,159,BRONZE_IV,0,13,11224,612,564,SILVER_IV,75,13,11418,190,143,BRONZE_II,91,14,11600
0,373,377,BRONZE_II,91,18,23887,28,43,IRON_I,41,18,23193,91,109,BRONZE_IV,73,18,26064,110,113,BRONZE_II,23,18,28358,36,45,IRON_III,0,10,6193,53,58,IRON_II,66,18,19182,31,32,BRONZE_IV,16,18,20630,251,275,BRONZE_IV,0,18,25145,20,30,IRON_II,49,17,18322,216,320,IRON_IV,9,16,16320
1,140,96,SILVER_IV,81,14,12473,241,230,BRONZE_I,49,15,13861,350,323,SILVER_IV,30,15,13754,143,139,BRONZE_III,43,13,10145,36,45,IRON_III,0,12,9274,120,107,BRONZE_IV,48,13,11278,113,114,BRONZE_III,60,13,10436,42,64,IRON_IV,4,12,9383,437,405,SILVER_IV,35,12,9420,332,365,IRON_IV,75,13,10348
