result,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,398,341,DIAMOND_III,0,12,9831,154,157,DIAMOND_IV,94,12,9553,74,76,PLATINUM_III,41,11,7352,640,630,DIAMOND_III,62,11,7584,58,39,DIAMOND_IV,1,11,7596,613,621,DIAMOND_IV,91,14,12254,164,132,DIAMOND_III,7,15,13171,387,396,DIAMOND_III,16,13,11169,375,360,DIAMOND_IV,22,13,10121,361,346,DIAMOND_III,90,10,6783
1,166,159,PLATINUM_II,78,14,11684,641,606,PLATINUM_II,43,10,7177,255,225,DIAMOND_IV,39,12,9532,45,53,PLATINUM_II,75,10,7034,244,204,DIAMOND_II,14,10,6841,142,132,DIAMOND_IV,34,13,10998,164,132,DIAMOND_III,7,14,12999,223,191,DIAMOND_III,59,14,11676,212,193,PLATINUM_I,60,14,11480,1189,1162,DIAMOND_IV,16,12,9230
0,613,621,DIAMOND_IV,91,12,9371,623,646,DIAMOND_IV,74,10,6252,301,296,DIAMOND_IV,21,11,7889,615,586,PLATINUM_I,100,10,6382,386,395,DIAMOND_IV,32,9,5691,318,310,DIAMOND_II,19,10,6721,164,132,DIAMOND_III,7,9,5970,247,230,DIAMOND_III,54,10,6122,110,89,DIAMOND_IV,48,9,5048,161,147,DIAMOND_III,27,8,4092
0,225,200,DIAMOND_III,12,16,16083,135,124,DIAMOND_I,3,17,16951,97,62,DIAMOND_I,7,18,18997,258,233,DIAMOND_II,37,16,15704,69,53,DIAMOND_II,19,15,13294,40,23,DIAMOND_III,0,16,15520,145,120,MASTER_I,1,14,12791,243,196,DIAMOND_I,57,15,14640,263,209,DIAMOND_III,72,14,12669,233,247,DIAMOND_III,59,14,11914
1,461,448,DIAMOND_II,28,14,12781,110,83,DIAMOND_IV,61,11,7923,516,417,DIAMOND_IV,0,12,8614,198,180,DIAMOND_III,12,12,9925,193,176,DIAMOND_I,63,12,9146,40,23,DIAMOND_III,0,15,13304,358,358,DIAMOND_IV,63,15,13819,470,459,DIAMOND_II,0,15,13343,490,494,DIAMOND_II,54,13,11228,206,214,DIAMOND_IV,47,13,10102
1,156,139,DIAMOND_I,38,16,14964,609,585,DIAMOND_IV,19,15,13859,119,107,DIAMOND_II,1,17,17062,87,84,DIAMOND_IV,60,14,12157,65,47,DIAMOND_II,21,13,10315,40,23,DIAMOND_III,0,17,16776,152,148,PLATINUM_I,70,14,12368,334,310,DIAMOND_III,43,16,15394,321,288,DIAMOND_II,42,16,15291,444,446,DIAMOND_III,0,15,13129
0,626,620,DIAMOND_III,16,14,12288,358,325,DIAMOND_III,43,16,16009,464,460,DIAMOND_III,72,15,14372,345,330,DIAMOND_II,9,15,13767,95,87,PLATINUM_I,35,13,10339,40,23,DIAMOND_III,0,15,13725,174,148,DIAMOND_III,32,13,9978,309,304,PLATINUM_III,32,13,11228,54,66,PLATINUM_I,43,13,10729,353,365,DIAMOND_IV,92,12,9328
1,51,33,PLATINUM_II,82,16,15407,79,51,DIAMOND_II,54,14,11830,50,35,DIAMOND_III,70,15,13514,382,357,DIAMOND_III,56,13,11147,199,176,DIAMOND_III,0,12,9346,40,23,DIAMOND_III,0,16,16458,195,162,PLATINUM_I,100,16,16130,303,262,DIAMOND_III,69,16,15146,42,25,DIAMOND_III,74,15,14147,51,28,PLATINUM_I,36,14,12265
1,101,99,PLATINUM_I,79,16,14799,328,310,DIAMOND_IV,28,14,12705,323,304,DIAMOND_IV,53,15,13401,113,125,DIAMOND_IV,30,15,13509,111,101,DIAMOND_III,89,13,9963,40,23,DIAMOND_III,0,17,17782,306,270,DIAMOND_II,10,16,15539,43,43,PLATINUM_I,100,16,15596,86,65,DIAMOND_IV,1,17,16899,243,186,DIAMOND_IV,47,14,12522
1,61,68,DIAMOND_IV,0,14,11481,111,86,DIAMOND_IV,0,13,10766,39,29,PLATINUM_II,71,14,11995,531,503,DIAMOND_III,6,14,12193,379,411,DIAMOND_III,1,12,9592,40,23,DIAMOND_III,0,16,16425,14,6,PLATINUM_II,86,16,16183,27,26,PLATINUM_I,63,16,15220,198,190,DIAMOND_III,75,16,15501,77,54,PLATINUM_I,100,14,12162
