result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
1,470,448,PLATINUM_II,40,16,14832,74,56,PLATINUM_IV,0,15,14595,207,203,PLATINUM_IV,22,16,14812,71,72,PLATINUM_IV,34,14,11791,183,147,DIAMOND_III,0,13,11149,30,28,PLATINUM_IV,0,14,12921,798,797,GOLD_III,60,14,12460,197,172,PLATINUM_IV,0,15,13064,128,116,PLATINUM_III,75,12,9603,221,231,PLATINUM_IV,48,12,8994
0,156,144,PLATINUM_IV,49,13,10970,74,56,PLATINUM_IV,0,12,8759,153,148,PLATINUM_III,8,15,14103,93,82,PLATINUM_III,88,14,12020,127,95,PLATINUM_I,5,13,10092,94,78,PLATINUM_III,3,16,14895,386,366,DIAMOND_IV,19,15,14407,319,293,PLATINUM_I,65,15,13851,189,198,PLATINUM_IV,25,14,12639,73,79,GOLD_I,100,13,10716
0,101,91,PLATINUM_III,0,18,20855,74,56,PLATINUM_IV,0,16,14792,188,188,PLATINUM_II,45,16,15591,530,524,DIAMOND_IV,0,16,16386,446,452,PLATINUM_II,29,16,14758,28,36,PLATINUM_IV,26,18,21071,54,55,PLATINUM_IV,36,18,18689,55,39,PLATINUM_II,57,17,17658,168,166,PLATINUM_IV,0,17,17872,21,18,GOLD_I,89,16,14814
0,324,279,PLATINUM_I,72,18,20948,103,96,PLATINUM_II,94,18,21768,172,144,DIAMOND_III,43,18,21134,99,81,PLATINUM_III,76,18,19225,175,170,PLATINUM_II,24,16,16414,105,106,PLATINUM_I,26,18,18617,19,9,PLATINUM_IV,8,17,16776,299,274,PLATINUM_I,80,18,19151,209,198,PLATINUM_IV,31,18,18506,68,44,DIAMOND_IV,1,17,16845
1,205,195,PLATINUM_II,23,12,9440,274,257,PLATINUM_I,75,13,10312,198,184,DIAMOND_IV,18,12,9688,133,141,PLATINUM_IV,74,11,7939,245,231,PLATINUM_III,91,9,5894,84,67,PLATINUM_II,0,12,8913,19,9,PLATINUM_IV,8,14,12742,64,65,PLATINUM_IV,76,14,11780,28,28,PLATINUM_IV,0,13,10049,199,190,PLATINUM_IV,40,11,7922
1,104,101,PLATINUM_III,42,18,20935,222,214,PLATINUM_III,32,17,18009,182,150,DIAMOND_III,62,18,22636,86,81,PLATINUM_IV,41,17,18261,112,96,PLATINUM_II,0,15,13708,276,279,PLATINUM_III,70,16,16462,19,9,PLATINUM_IV,8,18,22358,270,276,PLATINUM_III,42,18,26647,93,91,PLATINUM_III,75,18,22758,52,44,PLATINUM_III,10,18,21207
0,233,199,PLATINUM_I,27,14,12417,198,189,DIAMOND_II,1,11,8538,541,536,PLATINUM_IV,75,12,9001,328,287,PLATINUM_I,75,12,8607,216,238,PLATINUM_IV,0,10,6990,425,416,GOLD_III,80,11,8218,19,9,PLATINUM_IV,8,11,8403,140,139,PLATINUM_IV,62,11,7743,93,91,PLATINUM_III,75,10,6903,109,87,PLATINUM_II,61,9,5465
0,312,318,PLATINUM_IV,24,18,23071,276,282,PLATINUM_II,49,18,21153,282,286,PLATINUM_IV,0,18,22213,497,529,GOLD_I,0,18,22970,368,373,PLATINUM_III,61,18,19069,166,189,PLATINUM_IV,45,18,23327,19,9,PLATINUM_IV,8,18,21186,42,64,PLATINUM_IV,0,18,19051,161,161,PLATINUM_IV,39,18,21990,150,160,PLATINUM_IV,75,16,15886
1,101,93,PLATINUM_II,0,10,6448,171,195,PLATINUM_IV,8,11,8284,862,860,DIAMOND_IV,0,12,8802,280,267,PLATINUM_II,20,10,7238,457,427,DIAMOND_IV,80,9,5750,194,147,PLATINUM_I,28,11,8200,19,9,PLATINUM_IV,8,13,11148,52,43,DIAMOND_IV,4,12,9208,138,127,PLATINUM_II,15,12,8678,122,104,PLATINUM_II,47,10,7131
1,150,154,PLATINUM_IV,0,15,13032,247,230,PLATINUM_IV,16,14,12972,247,271,PLATINUM_IV,22,14,12363,50,48,PLATINUM_II,0,15,13228,96,89,PLATINUM_II,31,13,10402,101,93,PLATINUM_II,0,17,17783,19,9,PLATINUM_IV,8,16,16061,192,174,PLATINUM_II,8,16,16395,192,150,PLATINUM_I,48,16,14990,173,155,PLATINUM_II,60,14,12124
1,180,158,DIAMOND_II,15,12,9955,35,25,PLATINUM_IV,95,15,13361,53,38,PLATINUM_IV,32,14,12377,118,115,GOLD_III,33,14,12342,44,42,GOLD_IV,75,12,9681,42,43,SILVER_IV,50,11,7657,64,72,GOLD_III,20,12,9251,4,6,BRONZE_III,90,11,8122,4,6,BRONZE_III,90,11,8156,8,10,GOLD_IV,79,13,10718
0,180,158,DIAMOND_II,15,16,16311,35,25,PLATINUM_IV,95,18,19125,53,38,PLATINUM_IV,32,16,15543,118,115,GOLD_III,33,17,17773,44,42,GOLD_IV,75,15,13763,196,195,GOLD_II,40,15,14599,59,56,GOLD_II,33,18,20490,38,35,GOLD_I,37,17,16563,94,97,PLATINUM_IV,82,18,21023,13,1,GOLD_II,39,17,17337
1,180,158,DIAMOND_II,15,18,18950,35,25,PLATINUM_IV,95,18,19379,53,38,PLATINUM_IV,32,17,16973,118,115,GOLD_III,33,17,16893,44,42,GOLD_IV,75,15,13516,44,42,GOLD_IV,75,15,14102,15,12,GOLD_II,1,15,14428,99,97,PLATINUM_III,43,14,11509,37,33,SILVER_II,80,17,17541,117,102,GOLD_IV,32,17,17938
