result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
1,281,244,PLATINUM_IV,76,15,13026,335,327,PLATINUM_IV,17,15,13878,52,44,PLATINUM_IV,1,14,12927,196,191,PLATINUM_IV,60,13,10537,221,214,PLATINUM_IV,54,13,10871,297,271,PLATINUM_IV,49,16,15486,180,166,PLATINUM_II,3,16,15103,313,313,GOLD_I,2,16,15865,266,244,PLATINUM_IV,75,15,14385,188,188,PLATINUM_IV,51,14,12089
0,207,207,PLATINUM_III,15,18,19806,193,181,PLATINUM_III,24,18,18732,218,211,PLATINUM_II,28,17,17873,95,86,PLATINUM_IV,75,18,18914,25,25,GOLD_I,100,16,16265,677,684,GOLD_I,58,18,18502,180,166,PLATINUM_II,3,16,16248,122,134,PLATINUM_III,93,16,15730,63,56,PLATINUM_I,75,16,14788,214,222,GOLD_IV,70,14,11623
0,52,55,PLATINUM_IV,13,10,6559,163,166,PLATINUM_I,62,9,6083,223,247,PLATINUM_III,51,10,6563,117,89,PLATINUM_II,64,10,7265,494,495,PLATINUM_I,28,9,5746,15,14,PLATINUM_III,93,13,11294,27,34,PLATINUM_III,69,13,10617,11,15,GOLD_II,20,13,11336,316,288,MASTER_I,82,12,9502,267,252,PLATINUM_I,75,10,6643
0,52,55,PLATINUM_IV,13,12,9814,50,38,PLATINUM_I,7,12,8838,185,182,PLATINUM_I,75,12,9538,117,89,PLATINUM_II,64,11,8154,103,82,PLATINUM_I,75,11,7982,211,210,DIAMOND_IV,34,14,11453,126,130,PLATINUM_II,15,13,11233,174,169,DIAMOND_IV,71,13,10794,261,251,DIAMOND_IV,68,12,9697,381,372,PLATINUM_I,26,11,7919
1,52,55,PLATINUM_IV,13,15,13644,214,210,DIAMOND_III,25,17,17855,471,473,DIAMOND_III,16,16,15350,117,89,PLATINUM_II,64,15,13522,232,216,DIAMOND_IV,0,14,11786,47,43,PLATINUM_III,63,16,15626,50,38,PLATINUM_I,7,14,12439,240,230,PLATINUM_I,75,15,13038,90,84,DIAMOND_III,2,13,11176,91,84,PLATINUM_I,34,13,10760
1,52,55,PLATINUM_IV,13,18,19354,229,229,PLATINUM_III,31,17,18134,259,254,PLATINUM_IV,96,18,19487,117,89,PLATINUM_II,64,17,17042,386,408,PLATINUM_IV,75,16,15577,71,45,DIAMOND_IV,14,16,15728,134,145,PLATINUM_IV,63,17,17921,372,335,DIAMOND_I,75,16,15193,506,492,PLATINUM_I,56,15,13082,274,256,DIAMOND_IV,64,14,12474
1,52,55,PLATINUM_IV,13,18,23781,266,261,DIAMOND_IV,1,18,19525,31,46,PLATINUM_II,18,16,15813,117,89,PLATINUM_II,64,16,15793,100,97,PLATINUM_III,29,16,15112,733,676,DIAMOND_I,78,18,22578,252,258,PLATINUM_II,0,18,20007,337,318,DIAMOND_III,34,18,20485,133,170,PLATINUM_IV,41,18,19615,62,103,SILVER_II,24,16,15895
0,213,227,PLATINUM_IV,46,13,11247,64,56,PLATINUM_I,21,12,9357,259,255,PLATINUM_I,9,12,9618,117,89,PLATINUM_II,64,12,9682,127,112,PLATINUM_I,100,11,7983,336,312,DIAMOND_III,26,15,14580,272,272,PLATINUM_I,55,13,10637,483,476,PLATINUM_III,36,15,13825,29,44,PLATINUM_II,28,11,8577,94,93,DIAMOND_IV,33,11,7728
0,220,218,PLATINUM_II,61,9,5659,47,55,PLATINUM_IV,93,8,4810,154,132,DIAMOND_IV,51,9,5532,117,89,PLATINUM_II,64,6,3048,452,424,PLATINUM_I,54,6,2754,176,164,DIAMOND_IV,75,11,7698,68,60,DIAMOND_I,75,9,5873,56,33,GOLD_II,47,12,8629,358,355,PLATINUM_IV,0,9,5195,205,210,PLATINUM_III,17,8,4498
0,64,76,PLATINUM_II,36,15,13858,130,105,PLATINUM_II,74,17,17042,168,174,PLATINUM_III,74,16,15340,99,103,PLATINUM_IV,0,15,14182,234,207,DIAMOND_IV,84,14,11726,310,288,DIAMOND_IV,59,18,18535,70,56,PLATINUM_III,90,16,15682,70,71,PLATINUM_IV,45,16,15640,135,121,DIAMOND_IV,40,16,15759,214,191,DIAMOND_IV,0,15,13829
1,64,76,PLATINUM_II,36,15,13349,95,91,PLATINUM_III,62,15,14479,78,60,DIAMOND_IV,60,16,14724,81,65,PLATINUM_I,16,15,13200,391,337,PLATINUM_II,75,13,10609,512,483,DIAMOND_IV,2,13,11413,262,243,DIAMOND_IV,43,13,11209,122,114,PLATINUM_III,76,14,11933,186,172,DIAMOND_IV,23,14,11533,183,184,DIAMOND_IV,78,12,9061
