result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,17,19,SILVER_IV,0,18,20474,33,20,GOLD_I,20,18,20738,22,36,SILVER_III,63,17,17273,22,36,SILVER_III,63,17,18065,106,126,SILVER_IV,12,16,15217,6,8,BRONZE_I,28,18,19276,74,76,GOLD_IV,0,15,14491,7,8,BRONZE_I,72,16,16107,246,235,PLATINUM_II,8,16,16354,166,158,GOLD_IV,8,15,13447
0,55,60,SILVER_I,0,18,24596,63,63,GOLD_IV,47,18,21907,135,134,GOLD_IV,98,18,23646,17,32,SILVER_II,0,18,22774,17,32,SILVER_II,0,18,19193,255,229,PLATINUM_IV,13,18,22837,28,25,GOLD_IV,44,18,19771,7,8,BRONZE_I,72,16,15046,28,25,GOLD_IV,44,18,21989,7,7,SILVER_IV,64,17,16818
0,38,41,GOLD_IV,18,17,16710,22,20,GOLD_IV,1,14,12889,26,24,GOLD_IV,40,14,12969,28,32,SILVER_I,100,15,14014,15,13,GOLD_IV,1,14,11548,18,9,GOLD_IV,23,15,13989,94,96,GOLD_III,4,13,10572,7,8,BRONZE_I,72,13,10339,23,43,SILVER_IV,72,13,10910,23,23,GOLD_IV,43,14,11812
0,21,31,SILVER_III,55,11,8056,53,34,PLATINUM_I,80,12,9712,2,12,SILVER_IV,69,12,9353,10,11,SILVER_II,75,12,9330,10,11,SILVER_II,75,11,8477,8,8,SILVER_II,67,14,11667,84,93,GOLD_IV,0,11,7997,7,8,BRONZE_I,72,10,6222,14,12,SILVER_I,26,11,7801,6,9,SILVER_II,0,11,7675
0,55,54,GOLD_I,17,15,13804,223,248,SILVER_I,48,17,16585,34,28,PLATINUM_IV,55,16,16198,34,28,PLATINUM_IV,55,14,12726,34,28,PLATINUM_IV,55,14,12806,8,13,SILVER_III,44,16,15512,21,25,GOLD_IV,1,14,12353,7,8,BRONZE_I,72,14,12133,7,8,BRONZE_I,72,13,10020,9,9,SILVER_II,75,12,8861
1,3,7,SILVER_IV,46,18,18930,46,46,GOLD_III,62,18,19214,26,33,SILVER_I,64,18,19694,22,26,GOLD_IV,78,17,16957,42,39,GOLD_IV,17,15,13138,42,48,GOLD_IV,25,18,20110,382,363,PLATINUM_III,0,18,22481,7,8,BRONZE_I,72,18,18821,70,61,GOLD_I,0,18,21063,30,23,GOLD_III,0,17,18038
1,92,89,GOLD_III,75,11,7865,110,110,GOLD_III,0,10,7089,23,30,SILVER_II,30,10,7133,11,12,SILVER_II,38,10,6827,25,30,SILVER_II,75,9,5245,62,46,GOLD_II,75,13,11288,13,14,SILVER_IV,67,13,10740,7,8,BRONZE_I,72,13,10310,16,15,SILVER_I,3,12,9823,99,89,GOLD_I,30,9,5623
0,38,28,BRONZE_II,16,13,10421,170,163,BRONZE_II,0,10,6498,60,79,BRONZE_IV,47,12,9333,78,82,BRONZE_II,53,11,8040,154,153,BRONZE_II,51,9,5471,244,227,BRONZE_II,75,11,8466,196,177,SILVER_III,46,11,7340,11,8,BRONZE_I,0,12,9826,273,265,BRONZE_IV,9,9,5691,29,27,IRON_I,35,8,4769
1,21,24,BRONZE_I,49,12,9663,2,13,IRON_II,53,10,6609,3,12,BRONZE_IV,50,10,7297,15,28,BRONZE_IV,47,9,5734,21,47,IRON_I,10,9,5587,12,12,BRONZE_III,94,12,9184,12,12,BRONZE_III,94,12,8962,11,8,BRONZE_I,0,13,10706,10,9,BRONZE_IV,66,10,7098,29,27,IRON_I,35,10,6822
0,13,13,BRONZE_I,85,18,22596,33,27,SILVER_II,0,18,19369,60,74,SILVER_IV,36,18,19198,11,17,BRONZE_IV,43,16,15169,5,6,BRONZE_I,26,16,15599,37,61,BRONZE_IV,0,17,17650,26,17,SILVER_IV,23,18,19654,11,8,BRONZE_I,0,18,18776,11,8,BRONZE_I,0,16,15677,29,30,SILVER_III,25,16,15982
0,299,305,BRONZE_II,28,16,16103,366,376,BRONZE_II,73,14,12712,195,212,SILVER_IV,0,15,13085,329,333,BRONZE_I,2,14,11866,61,69,BRONZE_III,75,13,10691,167,134,SILVER_II,42,15,13712,93,102,BRONZE_I,22,15,14183,11,8,BRONZE_I,0,15,13433,65,91,BRONZE_III,60,13,10728,29,27,IRON_I,35,13,10294
0,66,73,BRONZE_III,18,15,13074,14,13,BRONZE_III,51,15,14367,40,55,BRONZE_III,84,16,15529,187,157,BRONZE_II,51,14,11984,8,23,BRONZE_IV,0,13,10567,34,36,BRONZE_I,7,15,13390,210,200,SILVER_IV,16,14,11704,11,8,BRONZE_I,0,12,9335,91,104,BRONZE_IV,4,15,14643,29,27,IRON_I,35,12,8845
1,37,63,BRONZE_IV,17,15,13832,6,7,BRONZE_IV,44,15,13695,70,67,SILVER_IV,0,16,14802,39,73,BRONZE_III,83,14,12412,584,587,BRONZE_IV,13,13,10850,42,40,IRON_IV,25,17,17553,4,7,BRONZE_III,72,18,18401,11,8,BRONZE_I,0,16,15207,50,88,BRONZE_III,20,16,16224,29,27,IRON_I,35,15,13547
1,18,28,BRONZE_III,46,18,18576,177,176,SILVER_IV,0,15,13129,163,166,BRONZE_IV,10,15,13558,169,166,BRONZE_IV,75,16,14759,31,27,BRONZE_II,80,15,13925,29,27,IRON_I,35,17,17359,84,71,SILVER_IV,71,18,19437,11,8,BRONZE_I,0,16,15910,95,84,SILVER_III,0,17,17632,29,27,IRON_I,35,15,14491
0,271,312,BRONZE_I,0,14,12423,97,106,SILVER_IV,0,14,12979,112,110,BRONZE_II,73,14,11778,129,121,SILVER_IV,74,13,10969,332,352,SILVER_IV,0,14,11564,261,242,SILVER_IV,37,13,11425,313,301,SILVER_IV,80,13,10682,55,60,BRONZE_I,2,12,9629,52,54,BRONZE_II,74,11,7854,15,17,BRONZE_I,10,11,7324
1,241,192,SILVER_III,12,10,6540,75,84,BRONZE_I,17,10,6902,160,154,BRONZE_I,27,9,6100,80,113,BRONZE_II,0,10,6399,11,25,SILVER_IV,0,8,4068,77,82,SILVER_IV,35,12,9617,98,93,SILVER_III,17,11,8374,55,60,BRONZE_I,2,12,9300,70,87,BRONZE_IV,17,10,6468,266,251,BRONZE_I,30,9,6085
0,153,141,SILVER_II,59,17,17289,113,111,SILVER_III,74,16,15308,252,245,SILVER_IV,52,12,9810,66,57,SILVER_IV,83,13,11187,424,433,SILVER_IV,4,13,10774,627,648,SILVER_IV,4,14,11846,318,326,SILVER_II,38,12,8658,55,60,BRONZE_I,2,14,12696,48,74,SILVER_IV,31,12,9802,365,346,SILVER_II,23,11,7732
0,12,13,BRONZE_I,100,15,13299,902,889,BRONZE_III,90,13,11404,54,50,BRONZE_I,11,15,13188,137,167,BRONZE_I,5,13,10317,108,127,BRONZE_II,23,13,10502,195,201,BRONZE_III,75,13,10675,17,26,SILVER_III,77,13,10191,55,60,BRONZE_I,2,14,12780,108,100,SILVER_IV,1,12,8664,17,28,BRONZE_III,21,11,8025
1,59,66,BRONZE_II,75,13,10246,575,524,SILVER_III,61,11,7508,309,298,SILVER_IV,14,11,8224,90,92,SILVER_IV,20,10,7260,86,68,SILVER_III,43,10,6566,164,130,SILVER_IV,30,14,12174,79,72,SILVER_IV,55,12,9790,55,60,BRONZE_I,2,13,10281,67,53,SILVER_III,29,14,11955,61,84,SILVER_IV,0,11,8481
