result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
1,67,53,GOLD_IV,74,15,13390,79,72,GOLD_III,36,11,8350,82,82,GOLD_IV,56,14,11634,296,265,GOLD_I,26,11,7744,198,198,GOLD_IV,46,11,7386,214,215,GOLD_III,7,12,9303,170,171,GOLD_IV,62,11,7581,98,98,GOLD_III,13,12,8960,132,120,GOLD_I,34,11,7414,192,180,SILVER_I,100,10,6461
1,67,53,GOLD_IV,74,18,24402,200,198,GOLD_III,4,18,22179,147,159,GOLD_IV,75,18,22201,123,146,GOLD_IV,30,18,20960,107,123,GOLD_IV,24,17,17817,143,148,GOLD_IV,72,18,26883,46,30,SILVER_I,91,18,20959,116,124,GOLD_IV,0,18,24745,66,60,SILVER_I,56,18,20379,43,54,GOLD_IV,57,18,18592
1,67,53,GOLD_IV,74,16,15504,23,32,SILVER_IV,0,15,14044,46,39,GOLD_IV,46,15,14395,59,57,GOLD_II,62,13,11006,145,166,BRONZE_II,24,15,13090,145,166,BRONZE_II,24,14,11934,5,10,IRON_I,87,12,9793,5,10,IRON_I,87,13,11165,5,10,IRON_I,87,11,8178,13,17,SILVER_III,0,16,15677
1,67,53,GOLD_IV,74,15,13041,23,32,SILVER_IV,0,14,12597,46,39,GOLD_IV,46,16,14932,59,57,GOLD_II,62,13,10179,145,166,BRONZE_II,24,16,14885,79,76,SILVER_III,59,13,10012,132,133,SILVER_III,32,14,12225,36,27,GOLD_IV,25,15,14482,28,25,SILVER_II,20,15,13876,7,7,SILVER_III,81,15,14021
1,67,53,GOLD_IV,74,17,17296,23,32,SILVER_IV,0,16,16104,46,39,GOLD_IV,46,16,16409,59,57,GOLD_II,62,14,11780,145,166,BRONZE_II,24,17,16556,163,169,SILVER_III,42,13,10536,9,8,SILVER_I,1,15,13198,17,22,BRONZE_I,29,14,12214,13,17,SILVER_IV,53,14,12731,41,28,GOLD_III,34,17,17034
0,67,53,GOLD_IV,74,13,11171,167,175,GOLD_IV,77,15,13794,190,222,GOLD_IV,0,14,11960,288,303,GOLD_IV,11,16,15463,48,44,GOLD_IV,17,12,8816,194,212,GOLD_IV,30,16,15002,312,290,GOLD_II,27,16,16159,66,70,GOLD_IV,20,16,15636,210,202,GOLD_IV,32,15,13499,74,87,GOLD_IV,0,14,12783
1,67,53,GOLD_IV,74,17,17855,864,852,GOLD_IV,15,18,19278,63,62,GOLD_IV,37,16,15347,114,85,GOLD_IV,47,16,16339,191,187,GOLD_III,80,15,13827,329,319,GOLD_III,7,17,16917,499,489,GOLD_IV,24,14,12516,173,179,GOLD_IV,0,16,15233,62,57,GOLD_IV,23,15,13763,213,209,GOLD_IV,65,14,11732
0,11,21,GOLD_III,8,15,13190,24,20,GOLD_I,37,12,9703,5,5,GOLD_IV,18,14,12737,67,59,PLATINUM_IV,91,13,11358,69,70,GOLD_II,33,11,8370,9,5,GOLD_IV,25,16,14795,101,116,GOLD_IV,0,15,14653,101,116,GOLD_IV,0,17,17282,30,25,PLATINUM_IV,1,16,15095,51,28,PLATINUM_IV,67,14,12225
0,99,97,GOLD_II,68,13,10921,19,17,GOLD_I,36,13,10118,5,5,GOLD_IV,18,14,11768,100,86,GOLD_I,13,12,9887,43,37,GOLD_III,11,12,9360,47,20,PLATINUM_II,7,16,15972,77,77,PLATINUM_IV,0,13,11422,25,18,GOLD_II,55,15,13153,37,34,GOLD_II,10,12,9151,97,78,PLATINUM_III,1,12,9630
1,307,330,GOLD_II,79,17,16624,113,104,PLATINUM_II,48,14,12726,5,5,GOLD_IV,18,14,11673,308,296,GOLD_III,55,14,12940,163,143,PLATINUM_IV,0,15,13489,12,8,GOLD_IV,1,13,11007,587,588,GOLD_III,17,13,10553,587,588,GOLD_III,17,14,12897,441,406,GOLD_II,53,12,9514,204,189,PLATINUM_IV,11,12,9261
0,17,13,SILVER_I,66,12,9403,70,63,GOLD_II,31,11,7957,5,5,GOLD_IV,18,13,10159,323,342,GOLD_III,73,10,7083,81,65,GOLD_II,78,10,6676,27,24,SILVER_I,68,13,11232,24,34,GOLD_IV,1,13,10421,35,37,GOLD_III,0,13,10987,109,93,PLATINUM_II,1,14,11986,25,22,GOLD_I,20,13,11259
